entity_name,entity_id,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_splitter,active_spin_curve,active_spin_slider,active_spin_sweeper,active_spin_slurve
"Rea, Colin",607067,R,87.5,88.9,38.7,99.4,,69.1,,,
"Wilson, Bryse",669060,R,87.4,91.9,61.5,94.9,,54.6,46.2,,
"Hill, Cam",657611,R,87.4,,,,,99.2,30.1,,
"Nova, Iván",467100,R,87.3,88.2,,99.6,,63.3,,,
"Smith, Will",519293,L,87.3,,,,,57.1,24.9,,
"Thompson, Ryan",657044,R,87.3,89.7,,,,,81.7,,
"Brubaker, JT",664141,R,87,87.1,,85.3,,62.7,19.7,,
"Stammen, Craig",489334,R,87,92.3,47.3,,,74.1,,,
"Mills, Alec",621219,R,87,86.7,,87.3,,80.6,56,,
"Gott, Trevor",641627,R,86.9,,42.8,,,87.1,,,
"Loáisiga, Jonathan",642528,R,86.9,86.4,,95.1,,49.1,,,
"Zimmer, Kyle",622092,R,86.8,,,91.3,,90.4,28.4,,
"Newcomb, Sean",656794,L,86.7,,,96,,93.7,72.5,,
"Neris, Héctor",593576,R,86.5,89.1,,,59.8,,,,
"García, Luis",472610,R,86.5,88.1,,,62.3,,46.9,,
"Wheeler, Zack",554430,R,86.5,88.3,27.2,98.8,90.1,75.9,,,
"Cordero, Jimmy",622772,R,86.2,86.4,,96,,53.9,22.9,,
"Matzek, Tyler",554431,L,86.1,,37.9,,,69.5,51.8,,
"Woodford, Jake",663765,R,86.1,89.6,,,,98.5,33.6,,
"Bassitt, Chris",605135,R,86,90.1,48.4,96.8,,96,55.9,83.6,
"Holland, Greg",518813,R,86,,,,,59.7,33.8,,
"Soria, Joakim",465657,R,85.9,,,69.9,,99.1,75.3,,
"Gallen, Zac",668678,R,85.7,,43.8,91.8,,66,46.6,,
"Morton, Charlie",450203,R,85.6,89,22.5,,96.9,78.6,,,
"Hatch, Thomas",641672,R,85.5,86.5,34.1,47.6,,,,,
"Urías, Julio",628711,L,85.4,,,94.3,,65,33.9,,49.7
"Antone, Tejay",622088,R,85.4,,,98.9,,81,41,,
"Brach, Brad",542960,R,85.4,85.2,50.3,73.4,,,39.1,,
"Graveman, Kendall",608665,R,85.4,88,59,84,,66.6,38,,
"King, Michael",650633,R,85.4,83,,97.7,,43.4,,,
"Taylor, Josh",657031,L,85.3,88,,,,,30.6,,
"Dunning, Dane",641540,R,85,82.6,,98.2,,99,39.5,,
"Yajure, Miguel",664337,R,84.9,,54.3,88.5,,76.6,,,
"Armstrong, Shawn",542888,R,84.9,,45.5,,,,,,60.1
"Lail, Brady",621078,R,84.9,83.9,,90.4,,60.8,38.4,,
"Zuber, Tyler",676604,R,84.7,,,92.6,,73.6,52,,
"Flaherty, Jack",656427,R,84.6,77.6,,78,,88,47.5,,
"Toussaint, Touki",657053,R,84.5,77.9,,,80.3,89.4,30.9,,
"Fulmer, Carson",608334,R,84.5,88.8,24.7,89,,52.9,,,
"Castellanos, Humberto",528748,R,84.3,82.8,53,96.5,,47.8,,,
"Ramírez, Yohan",670990,R,84.2,,,,,,,55.2,
"Duffey, Tyler",608648,R,84.2,,,,,54.3,,,
"Smith, Josh A.",595001,R,84.1,80.1,,92.7,,73.3,44.9,,
"Soto, Gregory",642397,L,84,85.1,,,,,33.3,,
"Hale, David",571735,R,83.9,81.8,,96,,46,,,
"Volquez, Edinson",450172,R,83.9,86,,90.8,,57.2,,,
"Kim, Kwang Hyun",547942,L,83.7,,,92.7,,60.9,34.7,,
"Davis, Wade",451584,R,83.6,,36.8,87.3,,73.1,,,
"Crowe, Wil",640444,R,83.4,78.3,,74.6,,,41.3,,
"Samardzija, Jeff",502188,R,83.3,87.7,56.2,,85.6,,42.3,,
"Bumgarner, Madison",518516,L,83.3,,42.3,,,62.8,,,
"Freeland, Kyle",607536,L,83.3,77.4,21.1,94.6,,53.7,,,
"Treinen, Blake",595014,R,83.2,89.4,45.2,,,,28.6,,
"Patiño, Luis",672715,R,83.2,,,90.7,,,50.5,,
"Carrasco, Carlos",471911,R,83.2,82.3,,67.9,,55.4,24.1,,
"Peralta, Freddy",642547,R,83,,,,,76.3,54.6,62,
"Wright, Kyle",657140,R,83,83,,97.8,,65.9,25.1,,
"Widener, Taylor",642203,R,82.9,,,87.1,,,38.3,,
"Kay, Anthony",641743,L,82.9,,,91.2,,71.4,,,
"Williams, Taylor",592865,R,82.9,,,,,,11.5,,
"Menez, Conner",669214,L,82.8,,,,,57,27.8,,
"Cease, Dylan",656302,R,82.8,,,90.8,,94.8,51.1,,
"Eshelman, Thomas",664045,R,82.7,83.6,,92,,69.8,40.4,,
"Yamamoto, Jordan",657141,R,82.6,83,30.2,,,88.9,70,,
