team_id,team_name,conference,year,season_team_id
1104,Grand Canyon,WAC,2025,596462
1104,Grand Canyon,WAC,2024,573978
1104,Grand Canyon,WAC,2023,548057
272,Hartford,DI Independent,2023,548158
275,Harvard,Ivy League,2025,596556
275,Harvard,Ivy League,2024,574080
275,Harvard,Ivy League,2023,548159
277,Hawaii,Big West,2025,596557
277,Hawaii,Big West,2024,574081
277,Hawaii,Big West,2023,548160
19651,High Point,Big South,2025,596705
19651,High Point,Big South,2024,573988
19651,High Point,Big South,2023,548067
283,Hofstra,CAA,2025,596558
283,Hofstra,CAA,2024,574082
283,Hofstra,CAA,2023,548161
285,Holy Cross,Patriot,2025,596559
285,Holy Cross,Patriot,2024,574083
285,Holy Cross,Patriot,2023,548162
288,Houston,Big 12,2025,596561
288,Houston,Big 12,2024,574085
288,Houston,AAC,2023,548164
287,Houston Christian,Southland,2025,596560
287,Houston Christian,Southland,2024,574084
287,Houston Christian,Southland,2023,548163
301,Illinois,Big Ten,2025,596563
301,Illinois,Big Ten,2024,574087
301,Illinois,Big Ten,2023,548166
299,Illinois St.,MVC,2025,596562
299,Illinois St.,MVC,2024,574086
299,Illinois St.,MVC,2023,548165
306,Indiana,Big Ten,2025,596566
306,Indiana,Big Ten,2024,574090
306,Indiana,Big Ten,2023,548169
305,Indiana St.,MVC,2025,596565
305,Indiana St.,MVC,2024,574089
305,Indiana St.,MVC,2023,548168
310,Iona,MAAC,2025,596568
310,Iona,MAAC,2024,574092
310,Iona,MAAC,2023,548171
312,Iowa,Big Ten,2025,596569
312,Iowa,Big Ten,2024,574093
312,Iowa,Big Ten,2023,548172
314,Jackson St.,SWAC,2025,596570
314,Jackson St.,SWAC,2024,574094
314,Jackson St.,SWAC,2023,548173
316,Jacksonville,ASUN,2025,596572
316,Jacksonville,ASUN,2024,574096
316,Jacksonville,ASUN,2023,548175
315,Jacksonville St.,CUSA,2025,596571
315,Jacksonville St.,CUSA,2024,574095
315,Jacksonville St.,ASUN,2023,548174
317,James Madison,Sun Belt,2025,596573
317,James Madison,Sun Belt,2024,574097
317,James Madison,Sun Belt,2023,548176
328,Kansas,Big 12,2025,596575
328,Kansas,Big 12,2024,574099
328,Kansas,Big 12,2023,548178
327,Kansas St.,Big 12,2025,596574
327,Kansas St.,Big 12,2024,574098
327,Kansas St.,Big 12,2023,548177
1157,Kennesaw St.,CUSA,2025,596463
1157,Kennesaw St.,ASUN,2024,573979
1157,Kennesaw St.,ASUN,2023,548058
331,Kent St.,MAC,2025,596576
331,Kent St.,MAC,2024,574100
331,Kent St.,MAC,2023,548179
334,Kentucky,SEC,2025,596577
334,Kentucky,SEC,2024,574101
334,Kentucky,SEC,2023,548180
361,LIU,NEC,2025,596711
361,LIU,NEC,2024,574106
361,LIU,NEC,2023,548185
370,LMU (CA),WCC,2025,596587
370,LMU (CA),WCC,2024,574112
370,LMU (CA),WCC,2023,548191
365,LSU,SEC,2025,596583
365,LSU,SEC,2024,574108
365,LSU,SEC,2023,548187
342,Lafayette,Patriot,2025,596578
342,Lafayette,Patriot,2024,574102
342,Lafayette,Patriot,2023,548181
346,Lamar University,Southland,2025,596579
346,Lamar University,Southland,2024,574103
346,Lamar University,Southland,2023,548182
349,Le Moyne,NEC,2025,596699
349,Le Moyne,NEC,2024,574412
352,Lehigh,Patriot,2025,596580
352,Lehigh,Patriot,2024,574104
352,Lehigh,Patriot,2023,548183
355,Liberty,CUSA,2025,596581
355,Liberty,CUSA,2024,574105
355,Liberty,ASUN,2023,548184
30136,Lindenwood,OVC,2025,596695
