"last_name, first_name","pitcher","ff_avg_spin","si_avg_spin","fc_avg_spin","sl_avg_spin","ch_avg_spin","cu_avg_spin","fs_avg_spin","kn_avg_spin","st_avg_spin","sv_avg_spin"
"Jax, Griffin","643377","2391","2346",,,"1580","2736",,,"2844",
"Phelps, David","475479","2365","2210","2420",,"2171","2532",,,,
"Wick, Rowan","592858","2255","1777","2241","2149","723","2604",,,,
"Smeltzer, Devin","656970","2277","2023","2159",,"1599","2555",,,"2544",
"Zimmermann, Bruce","669145","2330","2146","2427","2439","1933","2387","2026",,"2386",
"Pagán, Emilio","641941","2517",,"2363","2477",,"2632","1531",,,
"Barria, Jaime","642545","2304","2160",,"2191","1611",,,,,
"Doval, Camilo","666808",,"2472","2531","2580",,,,,,
"Davis, Austin","656354","2253","2124","2206",,"1896","2415",,,"2375",
"Ruiz, José","614179","2354","2173",,,"1795","2283",,,,
"Winder, Josh","680739","2023",,,"2118","1516","2156",,,,
"Minter, A.J.","621345","2425",,"2603",,"1650",,,,,
"Soto, Gregory","642397","2366","2374",,"2385","2154",,,,,
"Stratton, Chris","608717","2632","2495",,"2868","2228","3188",,,,
"Hernández, Elieser","622694","2097","2054",,"2103","1922",,,,,
"Montero, Rafael","606160","2336","2229",,"2345","2056",,,,,
"Brebbia, John","605154","2313","1783",,"2548",,,,,,
"Boxberger, Brad","502202","2385",,,"2461","1332",,,,,
"Milner, Hoby","571948","1970","1989",,,"1783",,,,"1887",
"Maton, Phil","664208","2491","2210","2600",,"2243","2998",,,"2669",
"McHugh, Collin","543521","2333",,"2511",,,"2723",,,"2784",
"Leiter Jr., Mark","643410","1953","1909","2085","2211",,"2264","842",,,
"Rogers, Taylor","573124","2223","2168",,,,,,,"2693",
"Vest, Will","676684","2079","1746",,"2391","1571",,,,,
"Strickland, Hunter","519326","2352","2229","2722","2814","1803",,,,,
"Germán, Domingo","593334","2542","2468",,,"2368","2617",,,,
"Lugo, Seth","607625","2244","2319",,"2441","1774","3253",,,,
"Sears, JP","676664","2152",,,,"1878","2507",,,"2506",
"Kimbrel, Craig","518886","2264",,,,,"2536",,,"2568",
"Tate, Dillon","622253",,"1969",,"2055","1649",,,,"2440",
"Puk, A.J.","640462","2285","2183",,"2234","2068",,,,"2226",
"Beede, Tyler","595881","2079","2127",,"2068","1617","2060",,,,
"Suter, Brent","608718","2147","2084",,"2305","1477",,,,,
"Williams, Devin","642207","2268",,"2464","2375","2739",,,,,
"Crismatt, Nabil","622503","2155","2102",,"2102","1696","2227",,,,
"Ottavino, Adam","493603","2351","2252","2564",,"2080",,,,"2701",
"Díaz, Alexis","664747","2657","1938",,"2750",,"2864",,,,
"Finnegan, Kyle","640448","2069",,,"2134",,,"1099",,,
"Robertson, David","502085",,,"2611","2651",,"2639",,,,
"Hicks, Jordan","663855","1949","2042",,"2421","1775",,"1248",,"2487",
"Armstrong, Shawn","542888","2302","2151","2458",,,,,,"2589","2518"
"Lange, Alex","656638","2290","2219",,,"1699","2186",,,,
"Buehler, Walker","621111","2267","2161","2411",,"1550","2662",,,"2673",
"Fulmer, Michael","605242","2303","2188","2414",,"1503","2409",,,,
"Cimber, Adam","643256","2172","2140",,"2473",,,,,,
"Martin, Davis","663436","2356",,,"2698","2192","2625",,,,
"Pilkington, Konnor","663455","2220",,,"2234","1742","2177",,,,
"García, Yimi","554340","2456","2248",,"2454","1877","2694",,,"2419",
"Graveman, Kendall","608665","2364","2227",,"2494","1763","2494",,,,
"Hernández, Carlos","672578","2367","2306",,"2034",,"2286","1193",,,
"Sanmartin, Reiver","665665","2216","2222",,"2433","1998",,,,,
"Stephan, Trevor","663986","2479",,,"2590",,,"1273",,,
"Muñoz, Andrés","662253","2289","2381",,"2226",,,,,,
"Duran, Jhoan","661395","2174",,,"2325",,"2662","1665",,,
"Logue, Zach","656657","2011","1885","2247",,"1873","2425",,,,
"Estévez, Carlos","608032","2241","2152",,"2281","1660","2173",,,,
"Givens, Mychal","571710","2426","2195",,"2575","2067",,,,,
"Schreiber, John","670167","2236","2185",,,"1649",,,,"2614",
"Abreu, Bryan","650556","2312","2478",,"2766","1806","2944",,,,
"Hill, Garrett","682051","2159","2103",,"2527","1368","2633",,,,
"Morgan, Eli","669212","2268",,"2285","2274","2098","2223",,,,
"García, Jarlín","606424","2035","2214",,"2251","2112",,,,,
"Martinez, Adrián","661309","2157",,,"1936","2289",,,,,
"Edwards Jr., Carl","605218","2523","2171",,,"1662","2120",,,,
"Neris, Héctor","593576","2448","2345",,"1975",,,"1136",,,
"Norris, Daniel","596057","2350","2257",,"2531","1426","2402",,,"2632",
"Sanchez, Aaron","592717","2148","2127",,,"1708","2632",,,,
"Jansen, Kenley","445276",,"2232","2564","2459",,,,,,
"Acevedo, Domingo","642758","2119",,,"2123","1867",,,,,
"Underwood Jr., Duane","621249","2261","2087","2094",,"1502","2402",,,,
"Murfee, Penn","682171","2279","2073",,,,,,,"2645",
"Beeks, Jalen","656222","2122","2021","2279","2228","1933",,,,,
"Bello, Brayan","678394","2202","2122",,"2497","1876","2448",,,,
"Machado, Andrés","600921","2113","2039",,"2010","1519",,,,,
"Thielbar, Caleb","573204","2298",,,,"1117","2455",,,"2362",
"Herget, Jimmy","623474","2261","2248",,"2611","1514",,,,"2732",
"Bautista, Félix","642585","2295","2343",,"2458",,,"1110",,,
"Santana, Dennis","642701","2515","2421",,"2675","2069",,,,,
"Manning, Matt","666159","2058","1909",,"2146","1367","2282",,,"2178",
"Bickford, Phil","641360","2361",,,"2293","2185",,,,,
"Romano, Jordan","605447","2290","2405",,"2082",,,,,,
"Gallegos, Giovanny","606149","2386","2353",,"2475","1910",,,,,
"Bass, Anthony","542914","2027","1989",,"2219",,,"1294",,,
"Smith, Will","519293","2179","2183",,"2259","2023","1883",,,,
"Brasier, Ryan","518489","2270","2231",,"2469","1340",,,,,
"López, Reynaldo","625643","2249",,,"2263","1590","2513",,,,
"Oviedo, Johan","670912","2275",,,"2585","1747","2465",,,,
"Iglesias, Raisel","628452","2319","2319",,"2561","1885",,,,,
"Krehbiel, Joey","607216","2174",,"2464","2476","1495",,,,,
"Holmes, Clay","605280",,"2208","2636","2523",,,,,"2578",
"Poche, Colin","621363","2230",,,"2480",,"2564",,,,
"Sewald, Paul","623149","2500","1901",,,,,,,"2422",
"Luetge, Lucas","476595","2614",,"2591","2686",,"2428",,,"2691",
"Shaw, Bryan","543766","2318","2149","2410","2475","1652","2231","931",,"2609",
"Okert, Steven","595345","2235",,,"2486",,,,,,
"Loup, Aaron","571901","2320","2129","2323",,"1946","2343",,,,
"Faedo, Alex","656412","2180","1953",,"2486","1945",,,,,
"García, Luis","472610","2242","2142",,"2372",,,"1098",,"2497",
"Bellatti, Andrew","571479","2436",,,"2398","1697",,,,,
"Helsley, Ryan","664854","2643",,,"2463","1564","2533",,,,
"Foley, Jason","671345","2209","2033",,"2240","1594",,,,"2189",
"Trivino III, Lou","642152","1992","2023","2277",,"1690","2180",,,"2558",
"Bard, Daniel","453268","2673","2505",,"2776","2264",,,,,"2610"
"Payamps, Joel","606303","2425","2253",,,"1992",,,,"2718",
"Hughes, Brandon","676714","2318","2193",,"2372","1964",,,,,
"Vesia, Alex","681911","2326",,,"2415","1967",,,,,
"Hendriks, Liam","521230","2399","2021",,"2199",,"2194",,,,
"Hentges, Sam","656529","2264","2130",,"2317",,"2514",,,,
"Stephens, Jackson","623451","2067","1900",,"2457","1505","2974",,,,
"Hader, Josh","623352","1803","2009",,"2460","1599",,,,,
"Adam, Jason","592094","2654",,,,"2016",,,,"2719",
"deGrom, Jacob","594798","2516",,,"2580","1613","2691",,,,
"Jiménez, Joe","641729","2462","2067",,"2226","2200",,,,,
"Brash, Matt","666374","2233",,,"2883","2050","2971",,,,
"Schmidt, Clarke","657376","2522","2408",,,"2128","2913",,,"2856",
"Díaz, Edwin","621242","2352",,,"2274",,,,,,
"Kuhnel, Joel","669270","2224","2240",,"2365","1483",,,,,
"Phillips, Evan","623465","2325","2052","2399",,,,,,"2535",
"Clase, Emmanuel","661403","2548","2604","2653","2653",,,,,,
"Houck, Tanner","656557","2134","2049",,"2556",,,"1656",,,
"Stephenson, Robert","596112","2389","2317",,"2914",,"2936","1521",,,
"Davidson, Tucker","656353","2017","1966",,"2294","1727","2473","1212",,,
"Bush, Matt","456713","2527","2244","2616",,,"2480",,,,
"Pérez, Cionel","672335","2194","2259",,,,"2831",,,,"2602"
"Chafin, Andrew","605177","2148","2100",,"2485","1759",,,,,
"Festa, Matt","670036","2332","2033",,,,,,,"2567",
"Banks, Tanner","621383","2270",,,"2321","1778",,,,"2299",
"Stanek, Ryne","592773","2307","2231",,"2513",,,"1040",,,
"Tepera, Ryan","572193","2224","2182",,"2307","1229","2260",,,"2422",
"Rucker, Michael","621074","2271","2074","2364","2476","1787","2523",,,,
"Mayers, Mike","594577","2293","2171","2288","2145","1574","2404",,,,
"Jackson, Zach","667427","2120",,"2204","2461","1230",,,,,
"Melancon, Mark","453343","2322","2327","2266","2314",,"2587","1831",,,
"García, Rony","665621","2337","2248",,,"1748","2343",,,,
"Alvarado, José","621237","2008","2095","2207",,,"2465",,,,
"Swanson, Erik","657024","2291",,,"2311",,,"1152",,,
"Wilson, Steven","621051","2366",,,"2610","2122",,,,"2693",
"Elder, Bryce","693821","2156","1970",,"2413","2110",,,,,
"Kennedy, Ian","453178","2447",,"2075","2462","1988","2595","1147",,,
"Floro, Dylan","571670","2178","2127",,"1891","1819",,,,,
"Mantiply, Joe","573009","2149","2192",,,"1702","2336",,,,
"Clarke, Taylor","664199","2268",,,"2177","1536",,,,,
"Martin, Chris","455119","2183","2053","2158",,,"2574","1507",,"2425",
"Marte, Yunior","628708","2392","2343",,"2601","2462",,,,,
"Ober, Bailey","641927","2301",,,"2175","1818","2242",,,,
"Matz, Steven","571927",,"2260",,"2160","2322","2371",,,,
"Hoffman, Jeff","656546","2457","2482",,"2691","2269",,"1571",,,
"Raley, Brooks","548384","2452","2311","2551",,"1901",,,,"2940",
"Abbott, Cory","676265","2253",,,"2133",,"2291",,,,
"De Los Santos, Enyel","660853","2251",,,"2143","1861",,,,,
"Rodríguez, Joely","570257","2032","1955",,"2266","1069",,,,,
"Bednar, David","670280","2298",,,,,"2436","1562",,,
"Castillo, Diego","650895","1957","1999",,"2260",,,,,,
"Sawamura, Hirokazu","617228","2112",,,"2298",,,"1418",,,
"Farmer, Buck","571656","2325",,,"2688","1678",,,,,
"Ramirez, Noé","598287","2187",,,,"2023","2524",,,,
"Wantz, Andrew","681806","2371","1711","2567",,"1632",,,,"2430",
"Leone, Dominic","608678","2322","2420","2404","2453",,,,,,
"Domínguez, Seranthony","622554","2357","2312","2473","2441","1783",,,,,
"Familia, Jeurys","544727","2297","2188",,"2183",,,"1806",,,
"Lambert, Jimmy","669424","2221",,,"2583","1576","2597",,,,
"Hand, Brad","543272","2354","2288",,,,,,,"2282",
"Peralta, Wandy","593974","2213","2187",,"2241","2184",,,,,
"Effross, Scott","664123","2248","2218",,"2380","2068",,,,"2451",
"Pruitt, Austin","643493","2265",,,"2562","1671","2899",,,,
"Garrett, Amir","607237","2233","2174",,"1848",,,,,,
"Colomé, Alex","517008","2125","2180","2153",,,,,,,
"Suarez, Robert","663158","2311","2232","2214","2186","1763","2134",,,,
"Gilbreath, Lucas","656458","2371",,,"2392",,,"1188",,,
"Knebel, Corey","608349","2369",,,"2543",,"2832",,,,
"Megill, Tylor","656731","2171",,"2220","2295","1546","2369",,,,
"Chacín, Jhoulys","468504","2389","2305","2625",,"1467","2564",,,,
"Leclerc, José","600917","2641","2146","2781","2583","2153",,,,,
"Smith, Drew","622098","2503","2505",,"2812","1964","2809",,,,
"Snead, Kirby","669912","2489","2403",,"2788","2222",,,,,
"Megill, Trevor","656730","2448","1801",,"2747",,"2759",,,,
"Henry, Tommy","674072","2185",,,"2193","1435","2389",,,,
"Bleier, Richard","542947","2127","2036","1995","2017","1533",,"1947",,,
"Foster, Matt","641582","2243",,"2288","2298","1824","2150",,,,
"King, Michael","650633","2432","2375",,,"2152",,,,"2785",
"Strahm, Matt","621381","2304","2248","2392","2611","2153","2670",,,,
"Lawrence, Justin","664875","2476","2280",,,,,,,"2797",
"Loáisiga, Jonathan","642528","2423","2317",,,"1943","2624",,,,
"Gott, Trevor","641627","2202","2038","2258",,"1429","2073",,,,
"McCullers Jr., Lance","621121","2211","2100","2583",,"1717","3013",,,"2866",
"Littell, Zack","641793","2132","2099",,"2220",,,"880",,,
"Marinaccio, Ron","676760","2325",,,,"1981",,,,"2354",
"Lee, Dylan","669276","2261","2060",,"2080","1525",,,,,
"Nance, Tommy","667297","2340","2327",,"2652",,"2886",,,,
"Martin, Brett","656685","2149","2200",,"2207",,"2250",,,,
"King, John","667463",,"2066","2433","2700","1638",,,,"2636",
"Wisler, Matt","605538","1939","2004",,"2479","1105",,,,,
"Castellanos, Humberto","528748","2134","2030","2074",,"1410","2406",,,,
"Hill, Tim","657612","2216","2066","1963","2008",,,,,,
"Bird, Jake","656234","1959","1951","2354",,"1730","2832",,,,
"Duffey, Tyler","608648","2276","2401",,"2381","1863","2479",,,,
"Cotton, Jharel","605194","2263",,,"2440","2392","2614",,,,
"Sandlin, Nick","680704","2325","2149",,"2617",,,"1507",,,
"Long, Sam","669674","2208","2034",,,"1946","2520",,,,
"Weems, Jordan","607179","2134",,,"2233",,"2187","992",,,
"Pepiot, Ryan","686752","2410","1971",,"2693","2374",,,,,
"Moll, Sam","594580",,"2523",,,,,,,"3182",
"Cabrera, Génesis","650893","2228","2211","2121",,"1768","2402",,,,
"Mayza, Tim","641835","1993","2032",,"2200",,,,,,
"Pineda, Michael","501381","1934",,,"1933","1713",,,,,
"Staumont, Josh","622251","2261","2188",,"2779",,"2689",,,,
"Weaver, Luke","596133","2377","1983",,"2256","1664","2303",,,,
"Banuelos, Manny","544365","2061","1827",,"2389","1703","2467",,,,
"Matzek, Tyler","554431","2443","2883",,"2808",,"2641",,,,
"Pressly, Ryan","519151","2512","2534",,"2729","1974","3272",,,,
"Brogdon, Connor","641401","2294",,"2376",,"2060",,,,,
"Richards, Garrett","572070","2310","2382",,"2605","1690","2859",,,,
"Abreu, Albert","656061","2149","2200",,"2265","1914",,,,,
