pitcher,name,ht_in
687792,DJ Herz,74
800049,Adam Mazur,74
622608,Antonio Senzatela,73
690916,Richard Fitts,75
543859,Michael Tonkin,79
676508,Ben Casparius,74
606996,Kyle Hart,77
670955,Edwin Uceta,72
687849,Zak Kent,75
676775,Keaton Winn,76
663767,Chase Shugart,71
621383,Tanner Banks,73
592426,Luke Jackson,74
687473,Ryan Gusto,76
666659,Sauryn Lao,74
669684,Chris Murphy,73
669912,Kirby Snead,73
680880,Grant Holman,78
668984,Casey Legumina,74
669330,Tyler Wells,80
694346,Trey Gibson,77
661440,Mauricio Llovera,71
621053,Tyler Ferguson,76
579328,Yusei Kikuchi,72
678368,Valente Bellozo,70
641401,Connor Brogdon,78
682010,Lane Ramsey,81
676760,Ron Marinaccio,74
674370,Osvaldo Bido,75
608334,Carson Fulmer,72
547943,Hyun Jin Ryu,75
527048,Martín Pérez,72
608717,Chris Stratton,74
642048,Tayler Saucedo,76
676395,Robert Garcia,76
686747,Joe La Sorsa,77
660896,Jorge Alcala,75
622065,Alex Young,75
592351,Jon Gray,76
686730,Carson Spiers,75
623433,Nick Anderson,76
523260,Joe Kelly,73
608032,Carlos Estévez,78
681810,Austin Warren,72
621051,Steven Wilson,76
694361,Will Klein,77
672710,Roansy Contreras,73
434378,Justin Verlander,77
700249,Cade Povich,75
699823,Tyler Davis,74
682608,Peyton Gray,76
668338,Tyson Miller,77
656605,Mitch Keller,75
696070,Kendry Rojas,74
669923,George Kirby,76
663531,Logan Allen,75
660825,Eduard Bazardo,72
605182,Mike Clevinger,76
694335,Matt Svanson,77
663554,Casey Mize,75
502624,Chase Anderson,73
676092,Collin Snider,76
695001,Alimber Santa,70
607179,Jordan Weems,76
685107,Anthony Veneziano,77
594943,Zach Neal,75
679358,Eric Orze,76
681402,Gus Varland,73
674003,Cody Bradford,76
628317,Kenta Maeda,73
670241,Darius Vines,73
669160,Dustin May,78
680684,Gunnar Hoglund,76
666974,Yennier Cano,76
593958,Eduardo Rodriguez,74
608372,Tomoyuki Sugano,73
664991,Grant Wolfram,79
660787,Yerry De los Santos,75
519008,T.J. McFarland,75
681799,Ethan Roberts,70
607200,Erick Fedde,76
657277,Logan Webb,74
641482,Nestor Cortes,70
655889,Manuel Rodríguez,71
687330,Kevin Kelly,74
685126,Brandon Eisert,74
663804,Jackson Kowar,77
676664,JP Sears,71
518617,Jake Diekman,76
677053,Andrew Nardi,75
663992,Richard Lovelady,72
571901,Aaron Loup,71
641585,J.P. France,72
606160,Rafael Montero,72
669020,Ryan Rolison,74
666661,Juan Morillo,73
621368,Taylor Hearn,78
676661,Max Lazar,73
657508,Mike Baumann,76
643338,Chad Green,75
646241,Enmanuel De Jesus,75
615698,Cal Quantrill,75
489446,Kirby Yates,70
681916,Dylan Smith,74
605513,Spencer Turnbull,75
645261,Sandy Alcantara,77
661563,Luis Gil,75
650644,Aaron Civale,73
628711,Julio Urías,72
613534,Austin Adams,75
663465,Kolby Allard,73
621345,A.J. Minter,72
493603,Adam Ottavino,77
657756,Connor Seabold,74
675540,Xzavion Curry,72
686539,Declan Cronin,76
608650,Dietrich Enns,73
688138,Logan Evans,76
669060,Bryse Wilson,74
687362,Connor Gillispie,71
542888,Shawn Armstrong,74
641835,Tim Mayza,75
543294,Kyle Hendricks,75
670167,John Schreiber,74
666619,Gregory Santos,75
554340,Yimi García,73
622503,Nabil Crismatt,73
641778,Eric Lauer,75
671111,Sammy Peralta,73
573186,Marcus Stroman,67
656578,Andre Jackson,75
594835,Marco Gonzales,73
672582,Angel Zerpa,72
571927,Steven Matz,74
641816,Tyler Mahle,75
656876,Drew Rasmussen,73
685299,Tanner Gordon,77
657424,Matt Gage,76
592836,Taijuan Walker,76
548384,Brooks Raley,75
630023,Yonny Chirinos,74
543521,Collin McHugh,74
572971,Dallas Keuchel,74
663399,Brandon Waddell,75
660261,Shintaro Fujinami,78
656794,Sean Newcomb,77
571948,Hoby Milner,75
695418,Brad Lord,75
686701,Ryan Bergert,73
694477,Chad Patrick,73
596057,Daniel Norris,74
669165,Kyle Hurt,75
663978,Chris Paddack,77
661527,Seth Martinez,74
544150,Albert Suárez,75
657024,Erik Swanson,75
680689,Lyon Richardson,74
547184,Michael Kelly,76
664353,José Urquidy,72
600921,Andrés Machado,73
543272,Brad Hand,75
624647,Victor González,72
663542,Bryan Hudson,80
676467,Colton Gordon,76
605154,John Brebbia,73
643493,Austin Pruitt,70
621389,Ty Blach,73
502171,Alex Cobb,75
702275,JR Ritchie,74
622072,Alex Wood,76
458677,Justin Wilson,74
676083,Janson Junk,74
641302,Tyler Alexander,73
666745,Jhony Brito,74
