pitcher,player_name,pitch_type,grp,n,act_miss,pred_miss,grade,g2080
663623,"Irvin, Jake",CU,breaking,119,2.1,1.14,105.1,45
669387,"Mlodzinski, Carmen",FS,offspeed,203,0.87,1.13,105.1,48
675512,"Melton, Troy",CU,breaking,25,0.9,1.14,105.1,45
681676,"Fernandez, Ryan",SL,breaking,55,2,1.14,105.1,44
686560,"Collyer, Gavin",ST,breaking,46,0.54,1.13,105.1,44
694335,"Svanson, Matt",ST,breaking,107,0.78,1.14,105.1,44
695239,"Ahlstrom, Robby",CH,offspeed,28,0.24,1.14,105.1,51
805673,"Matthews, Zebby",CH,offspeed,63,0.42,1.14,105.1,51
641743,"Kay, Anthony",SL,breaking,52,1.4,1.13,105,44
660853,"De Los Santos, Enyel",CH,offspeed,106,1.57,1.13,105,51
663372,"Feltner, Ryan",CH,offspeed,93,2.43,1.13,105,51
676664,"Sears, JP",SL,breaking,31,0.71,1.13,105,44
677955,"Hill, Jaden",SL,breaking,53,1.98,1.13,105,44
681217,"Silseth, Chase",FS,offspeed,94,1.74,1.13,105,48
688107,"Gasser, Robert",ST,breaking,122,1.04,1.13,105,44
691587,"Pérez, Eury",CH,offspeed,67,1.53,1.13,105,51
801403,"Dollander, Chase",CH,offspeed,33,0.66,1.13,105,51
544150,"Suárez, Albert",CH,offspeed,60,0.68,1.12,104.9,51
691945,"Baumler, Carter",CU,breaking,25,2.61,1.12,104.9,44
702275,"Ritchie, JR",CU,breaking,101,0.87,1.12,104.9,44
813349,"Early, Connelly",SL,breaking,56,0.66,1.12,104.9,44
453286,"Scherzer, Max",SL,breaking,53,0.79,1.11,104.8,44
657424,"Gage, Matt",SL,breaking,106,0.97,1.11,104.8,44
676440,"Bibee, Tanner",CU,breaking,96,1.25,1.11,104.8,44
804636,"Tong, Jonah",CH,offspeed,29,1.17,1.11,104.8,50
621111,"Buehler, Walker",ST,breaking,70,0.86,1.11,104.7,43
622608,"Senzatela, Antonio",CU,breaking,26,2.26,1.1,104.7,44
641793,"Littell, Zack",FS,offspeed,174,0.79,1.11,104.7,48
663362,"Waldron, Matt",ST,breaking,32,0.27,1.11,104.7,43
663436,"Martin, Davis",CU,breaking,92,2.65,1.11,104.7,44
670036,"Festa, Matt",ST,breaking,131,0.84,1.1,104.7,43
676467,"Gordon, Colton",ST,breaking,27,0.19,1.1,104.7,43
682608,"Gray, Peyton",CH,offspeed,150,1.18,1.11,104.7,50
646241,"De Jesus, Enmanuel",CH,offspeed,48,1.07,1.1,104.6,50
650911,"Sánchez, Cristopher",SL,breaking,192,2.26,1.1,104.6,44
664208,"Maton, Phil",ST,breaking,31,1.05,1.1,104.6,43
669438,"Englert, Mason",CU,breaking,43,1.52,1.1,104.6,44
677053,"Nardi, Andrew",SL,breaking,26,0.74,1.1,104.6,44
694973,"Skenes, Paul",CH,offspeed,148,1.33,1.1,104.6,50
625643,"López, Reynaldo",SL,breaking,155,1.89,1.09,104.5,44
641941,"Pagán, Emilio",FC,fastball,29,1.23,1.09,104.5,80
660761,"Suarez, José",SL,breaking,109,0.78,1.09,104.5,44
663765,"Woodford, Jake",ST,breaking,31,1.51,1.09,104.5,43
676282,"Cantillo, Joey",CU,breaking,249,1.29,1.09,104.5,44
683004,"Leiter, Jack",CH,offspeed,122,0.93,1.09,104.5,50
695611,"Jump, Gage",SL,breaking,117,0.64,1.09,104.5,44
800048,"Messick, Parker",SL,breaking,48,0.91,1.09,104.5,44
527048,"Pérez, Martín",CH,offspeed,225,1.12,1.08,104.4,50
668970,"Hollowell, Gavin",ST,breaking,28,0.5,1.09,104.4,43
669432,"Rogers, Trevor",ST,breaking,115,1.46,1.08,104.4,43
682227,"Williamson, Brandon",CH,offspeed,59,1.53,1.08,104.4,50
806188,"Gibson, Cade",SL,breaking,42,0.43,1.08,104.4,43
656876,"Rasmussen, Drew",CH,offspeed,105,0.98,1.07,104.3,49
663460,"Bubic, Kris",CH,offspeed,84,0.88,1.07,104.3,49
669358,"Baz, Shane",CH,offspeed,71,0.36,1.07,104.3,49
676571,"Poulin, PJ",ST,breaking,98,1.32,1.08,104.3,43
681347,"Burrows, Mike",CU,breaking,79,1.54,1.08,104.3,44
693855,"Seymour, Ian",SL,breaking,27,0.15,1.07,104.3,43
552640,"Kittredge, Andrew",SL,breaking,122,1.08,1.07,104.2,43
592662,"Ray, Robbie",SL,breaking,217,1.31,1.07,104.2,43
605135,"Bassitt, Chris",CU,breaking,108,1.41,1.07,104.2,43
608372,"Sugano, Tomoyuki",ST,breaking,66,0.88,1.07,104.2,42
669923,"Kirby, George",CH,offspeed,58,0.94,1.07,104.2,49
681293,"Arrighetti, Spencer",CH,offspeed,35,1.13,1.06,104.2,49
684320,"Rodríguez, Yariel",SL,breaking,30,0.52,1.07,104.2,43
702056,"Yesavage, Trey",SL,breaking,184,1.42,1.07,104.2,43
571945,"Mikolas, Miles",ST,breaking,37,0.61,1.06,104.1,42
607200,"Fedde, Erick",ST,breaking,300,0.8,1.06,104.1,42
657746,"Ryan, Joe",SL,breaking,56,1.01,1.06,104.1,43
663978,"Paddack, Chris",CH,offspeed,147,0.84,1.06,104.1,49
666661,"Morillo, Juan",CH,offspeed,74,0.96,1.06,104.1,49
669432,"Rogers, Trevor",FC,fastball,85,1.11,1.06,104.1,80
675512,"Melton, Troy",FS,offspeed,44,0.89,1.06,104.1,47
676974,"Meyer, Max",CH,offspeed,79,1.08,1.06,104.1,49
680736,"Wrobleski, Justin",CH,offspeed,35,0.46,1.06,104.1,49
681190,"Vásquez, Randy",CH,offspeed,40,1.29,1.06,104.1,49
682608,"Gray, Peyton",SL,breaking,56,0.61,1.06,104.1,43
690997,"McLean, Nolan",CH,offspeed,71,0.66,1.06,104.1,49
804267,"Thornton, Zac",ST,breaking,29,0.79,1.06,104.1,42
605130,"Barlow, Scott",CU,breaking,98,2.36,1.05,104,43
608379,"Wacha, Michael",SL,breaking,81,1.56,1.05,104,43
642547,"Peralta, Freddy",CU,breaking,130,1.53,1.05,104,43
664285,"Valdez, Framber",SL,breaking,42,1.71,1.05,104,43
686790,"McDonald, Trevor",CH,offspeed,86,1.58,1.05,104,49
694297,"Pfaadt, Brandon",CU,breaking,67,1.06,1.05,104,43
592662,"Ray, Robbie",CH,offspeed,185,0.84,1.05,103.9,48
664126,"Fairbanks, Pete",SL,breaking,56,2.36,1.05,103.9,43
669160,"May, Dustin",CH,offspeed,52,0.38,1.04,103.9,48
674370,"Bido, Osvaldo",ST,breaking,34,2.01,1.05,103.9,42
679883,"Avila, Luinder",CH,offspeed,51,0.96,1.04,103.9,48
681035,"Scott, Christian",ST,breaking,130,1.35,1.05,103.9,42
687473,"Gusto, Ryan",CH,offspeed,53,0.99,1.04,103.9,48
690953,"Abel, Mick",CH,offspeed,31,0.85,1.04,103.9,48
690986,"Harrison, Kyle",CH,offspeed,62,0.6,1.04,103.9,48
641302,"Alexander, Tyler",ST,breaking,55,0.85,1.03,103.8,42
663767,"Shugart, Chase",ST,breaking,50,0.89,1.04,103.8,42
680732,"Burke, Sean",KC,breaking,157,1.5,1.04,103.8,41
687330,"Kelly, Kevin",ST,breaking,25,0.27,1.04,103.8,42
688158,"Morgan, David",CU,breaking,42,3.75,1.04,103.8,43
700712,"Ureña, Walbert",CH,offspeed,249,1.27,1.04,103.8,48
608372,"Sugano, Tomoyuki",CU,breaking,32,0.22,1.03,103.7,43
643511,"Rogers, Tyler",SL,breaking,70,0.59,1.03,103.7,43
656605,"Keller, Mitch",SL,breaking,88,0.64,1.02,103.7,43
663776,"Sandoval, Patrick",SL,breaking,38,0.6,1.03,103.7,43
663947,"Holton, Tyler",ST,breaking,53,1.15,1.03,103.7,42
676917,"Cavalli, Cade",KC,breaking,223,1.96,1.02,103.7,41
677865,"Bruihl, Justin",CH,offspeed,37,1.47,1.03,103.7,48
680802,"Weiss, Ryan",CH,offspeed,29,1.92,1.03,103.7,48
688158,"Morgan, David",SL,breaking,36,3.13,1.02,103.7,43
592791,"Taillon, Jameson",CH,offspeed,110,0.9,1.02,103.6,48
606996,"Hart, Kyle",FS,offspeed,67,1.2,1.02,103.6,46
608372,"Sugano, Tomoyuki",SL,breaking,65,0.8,1.02,103.6,43
641778,"Lauer, Eric",SL,breaking,56,0.49,1.02,103.6,43
642547,"Peralta, Freddy",CH,offspeed,209,0.88,1.02,103.6,48
676263,"Dreyer, Jack",CU,breaking,35,1.08,1.02,103.6,43
656427,"Flaherty, Jack",SL,breaking,174,1.57,1.02,103.5,42
681347,"Burrows, Mike",CH,offspeed,220,1.17,1.01,103.5,48
682243,"Miller, Bryce",ST,breaking,27,1.04,1.01,103.5,41
615698,"Quantrill, Cal",FS,offspeed,96,0.52,1,103.4,46
641755,"Kinley, Tyler",CU,breaking,39,1.8,1,103.4,42
647336,"Soroka, Michael",CH,offspeed,77,0.26,1,103.4,47
