Feature,Gain,Cover,Frequency,stand,spec
vaa,0.354342205764253,0.213654378841125,0.144269005847953,L,B3
az,0.105869471063478,0.0469932571572404,0.064327485380117,L,B3
release_speed,0.0891952255942753,0.0923942689795166,0.0687719298245614,L,B3
haa,0.0834820379196589,0.159131359174753,0.0890058479532164,L,B3
release_pos_z,0.080052378648197,0.0481907379528387,0.0738011695906433,L,B3
pfx_z,0.0402663287305005,0.0167965539398412,0.0305263157894737,L,B3
release_pos_x,0.0363468453098476,0.0313680109599574,0.0621637426900585,L,B3
speed_diff,0.0333453539215854,0.0860386799172707,0.0485380116959064,L,B3
pitcher_q,0.0276364808479985,0.0249258658527646,0.0416959064327485,L,B3
ax,0.0244519941140381,0.00883027952340181,0.0386549707602339,L,B3
pfx_x,0.0182452420848141,0.0142966171742944,0.0351461988304094,L,B3
release_extension,0.0158830330609518,0.012403522260927,0.0242105263157895,L,B3
arm_angle,0.0121607464453905,0.0102520695745382,0.0355555555555556,L,B3
release_spin_rate,0.0108207778616147,0.0272748280468682,0.0369590643274854,L,B3
axis_diff,0.0100631230540519,0.0257893145307224,0.0282456140350877,L,B3
pfx_z_diff,0.00921892958760354,0.020759412824134,0.0214035087719298,L,B3
cax,0.00887651294719164,0.0363417779056396,0.0272514619883041,L,B3
az_diff,0.00864644492769929,0.0219989182526392,0.0275438596491228,L,B3
pfx_x_diff,0.00826369324708818,0.0407733513137258,0.0225146198830409,L,B3
ax_diff,0.00771527938697066,0.0348918986346864,0.022280701754386,L,B3
sax,0.00759572678819807,0.0154906644421104,0.0224561403508772,L,B3
rubber_x_in_rel_own,0.00752216869459255,0.0114042327410047,0.0346783625730994,L,B3
vaa,0.354650687521949,0.196867485467768,0.13704137392662,L,NP
az,0.108369303903149,0.0427350809072746,0.0611631537861046,L,NP
release_speed,0.0841827826652915,0.0850453580437935,0.0690866510538642,L,NP
release_pos_z,0.0784178813483006,0.0419766493229337,0.0725214676034348,L,NP
haa,0.0768253295694118,0.158164078170563,0.0839578454332553,L,NP
