player_name,pitch_type,n,whiff,exp_whiff,wresid,axis,as_gap,ivb_gap,spin_sim
"Rogers, Trevor",CH,225,0.231,0.281,-0.05,13.9,-0.014,-10.5,0.884
"Liberatore, Matthew",CH,123,0.22,0.27,-0.05,20.2,-0.007,-6.2,0.811
"Detmers, Reid",CH,93,0.312,0.363,-0.051,14,-0.027,-6.2,0.838
"Eisert, Brandon",CH,52,0.288,0.34,-0.051,16,-0.048,-10.4,0.691
"Rodriguez, Eduardo",CH,259,0.22,0.272,-0.052,21.8,0.033,-7.8,0.706
"Sasaki, Roki",FO,66,0.318,0.37,-0.052,80,,-19,
"Weissert, Greg",CH,41,0.341,0.395,-0.054,41.3,0.197,-11.6,0.009
"Wacha, Michael",CH,239,0.251,0.307,-0.056,39.7,-0.2,-7.4,0.008
"Orze, Eric",FS,163,0.27,0.326,-0.056,28.5,-0.242,-16.7,0.002
"Peralta, Freddy",CH,209,0.263,0.323,-0.06,38.7,0.052,-14,0.365
"Morgan, Eli",CH,57,0.175,0.237,-0.061,48.8,-0.126,-14.4,0.064
"Sasaki, Roki",FS,238,0.332,0.392,-0.061,28,-0.132,-14.8,0.118
"Winn, Cole",FS,45,0.289,0.352,-0.063,29.1,-0.043,-10.2,0.547
"Brogdon, Connor",CH,51,0.235,0.299,-0.064,33.5,-0.006,-7.5,0.572
"Clarke, Taylor",CH,97,0.196,0.26,-0.064,26.2,0.019,-10.2,0.686
"Fried, Max",CH,65,0.292,0.357,-0.065,24,-0.079,-3.7,0.401
"Skenes, Paul",FS,125,0.176,0.241,-0.065,12.7,-0.069,-10.4,0.572
"Bieber, Shane",CH,45,0.222,0.291,-0.069,26.1,-0.097,-13.5,0.276
"Gilbert, Logan",FS,134,0.366,0.436,-0.07,73.3,-0.357,-19,0
"Miller, Bryce",FS,137,0.292,0.363,-0.071,19.1,-0.192,-12.8,0.021
"Kikuchi, Yusei",FS,53,0.264,0.336,-0.072,5.3,-0.022,-6.9,0.926
"Vodnik, Victor",CH,45,0.244,0.316,-0.072,31.7,0.048,-8.6,0.482
"Junk, Janson",CH,95,0.274,0.347,-0.073,30.3,-0.067,-16.3,0.405
"Milner, Hoby",CH,40,0.1,0.175,-0.075,14.2,-0.002,-5.8,0.892
"Strahm, Matt",CH,40,0.175,0.25,-0.075,37.8,-0.164,-17.1,0.039
"Paredes, Mike",CH,69,0.174,0.249,-0.075,31.5,-0.017,-11,0.594
"Young, Brandon",FS,147,0.231,0.309,-0.078,24.8,-0.287,-13.7,0
"Gusto, Ryan",CH,53,0.226,0.304,-0.078,40.2,0.009,-9.5,0.45
"Myers, Tobias",FS,81,0.296,0.376,-0.08,4.9,-0.24,-9.6,0.003
"Canning, Griffin",CH,136,0.228,0.309,-0.081,29.7,-0.037,-11.5,0.564
"Quantrill, Cal",FS,96,0.198,0.28,-0.082,22.1,-0.052,-7.8,0.594
"Baker, Bryan",CH,157,0.318,0.401,-0.082,20.9,-0.065,-11,0.526
"Akin, Keegan",CH,55,0.2,0.282,-0.082,22.7,0.036,-8.4,0.679
"Suárez, Albert",CH,60,0.217,0.299,-0.083,24.4,0.062,-6,0.506
"Corbin, Patrick",CH,103,0.262,0.345,-0.083,18.5,0.111,-2,0.245
"Junis, Jakob",CH,61,0.164,0.248,-0.084,9.2,0.023,-7.1,0.901
"Kay, Anthony",CH,122,0.238,0.322,-0.084,21,-0.032,-9.3,0.722
"Giolito, Lucas",CH,85,0.247,0.332,-0.085,19.2,0.001,-3.9,0.83
"Scherzer, Max",CH,45,0.178,0.265,-0.087,25.7,0.075,-11.9,0.411
