player_name,pitch_type,grp,n,act,base,aug,gain,path_ratio,axis_diff,as_gap
"Blubaugh, AJ",FF,fastball,82,0.22,0.18,0.18,0,,3,0
"Kimbrel, Craig",FF,fastball,42,0.21,0.19,0.19,-0.001,,3,0
"Pérez, Martín",CH,offspeed,81,0.92,0.77,0.77,-0.001,0.32,11.5,0.028
"Lorenzen, Michael",FF,fastball,73,0.07,0.18,0.18,-0.001,,5.1,0
"Gausman, Kevin",FF,fastball,157,0.1,0.18,0.18,-0.001,,3.3,0
"Houser, Adrian",FF,fastball,59,0.24,0.19,0.18,-0.001,,4.4,0
"Peralta, Freddy",CU,breaking,48,1.82,1.32,1.32,-0.001,0.48,146.4,-0.434
"Santana, Dennis",FF,fastball,36,0.09,0.19,0.19,-0.001,,3,0
"Alcantara, Sandy",SI,fastball,87,0.18,0.17,0.17,-0.001,,2.3,-0.003
"Hoffman, Jeff",FF,fastball,51,0.21,0.23,0.23,-0.001,,3.9,0
"Keller, Mitch",FF,fastball,71,0.13,0.2,0.19,-0.001,,2.8,0
"McClanahan, Shane",FF,fastball,56,0.16,0.2,0.2,-0.001,,2.7,0
"Santillan, Tony",FF,fastball,37,0.23,0.18,0.18,-0.001,,4.1,0
"Soriano, George",FF,fastball,31,0.03,0.18,0.18,-0.001,,4,0
"Miller, Erik",SI,fastball,25,0.21,0.21,0.21,-0.001,,3.2,0.007
"Hurt, Kyle",FF,fastball,37,0.35,0.19,0.19,-0.001,,3.4,0
"Kuhnel, Joel",SI,fastball,25,0.14,0.18,0.18,-0.001,,2.8,0.071
"Watson, Ryan",FF,fastball,31,0.15,0.2,0.19,-0.001,,3.5,0
"Bednar, David",FF,fastball,46,0.04,0.19,0.19,-0.001,,3.4,0
"Macko, Adam",FF,fastball,25,0.12,0.19,0.19,-0.001,,3.2,0
"Cavalli, Cade",FF,fastball,116,0.23,0.18,0.18,-0.001,,5.4,0
"Weathers, Ryan",FF,fastball,55,0.14,0.19,0.19,-0.001,,3.1,0
"Harrison, Kyle",FF,fastball,155,0.23,0.2,0.2,-0.001,,3.4,0
"Jump, Gage",SL,breaking,29,0.41,1.02,1.02,-0.001,0.33,95,-0.649
"Matthews, Zebby",FF,fastball,40,0.15,0.18,0.18,-0.001,,4,0
"Yamamoto, Yoshinobu",FF,fastball,66,0.27,0.19,0.19,-0.001,,3.4,0
"Fermin, José",SI,fastball,25,0.08,0.18,0.18,-0.001,,3.8,0.002
"Rogers, Taylor",SI,fastball,30,0.11,0.18,0.18,-0.002,,1.8,0
"Thielbar, Caleb",FF,fastball,52,0.18,0.19,0.19,-0.002,,3.7,0
"Kay, Anthony",SI,fastball,27,0.57,0.25,0.25,-0.002,,4.8,-0.066
"King, Michael",FF,fastball,53,0.25,0.17,0.17,-0.002,,5,0
"Webb, Jacob",FF,fastball,71,0.25,0.2,0.2,-0.002,,3.1,0
"Erceg, Lucas",FF,fastball,30,0.26,0.18,0.18,-0.002,,3,0
"Hancock, Emerson",FF,fastball,121,0.21,0.2,0.2,-0.002,,4.9,0
"Brown, Ben",FF,fastball,59,0.14,0.18,0.18,-0.002,,4.3,0
"Cecconi, Slade",FF,fastball,74,0.34,0.19,0.19,-0.002,,2.6,0
"Silseth, Chase",FF,fastball,46,0.15,0.18,0.18,-0.002,,4.5,0
"Leahy, Kyle",FF,fastball,32,0.32,0.2,0.19,-0.002,,3.7,0
"Lopez, Jacob",SL,breaking,77,0.78,1.42,1.42,-0.002,0.64,153.8,-0.436
"Hughes, Gabriel",FF,fastball,43,0.25,0.2,0.2,-0.002,,4.8,0
"King, Bryan",FF,fastball,89,0.2,0.2,0.19,-0.002,,3.3,0
"Pérez, Eury",CH,offspeed,27,1.56,0.95,0.95,-0.002,0.22,17.7,0.018
"Painter, Andrew",FF,fastball,31,0.09,0.19,0.19,-0.002,,3.7,0
"Patrick, Chad",FF,fastball,54,0.22,0.19,0.19,-0.002,,3.6,0
"Natera Jr., Samy",FF,fastball,30,0.39,0.2,0.2,-0.002,,3.4,0
"Ritchie, JR",CH,offspeed,26,0.39,0.8,0.8,-0.002,0.17,19.8,-0.007
"Messick, Parker",FF,fastball,109,0.45,0.2,0.2,-0.002,,2.9,0
"Buehler, Walker",SL,breaking,28,0.84,0.94,0.94,-0.003,0.32,81,-0.455
"De Jesus, Enmanuel",FF,fastball,28,0.16,0.19,0.19,-0.003,,3.4,0
"Soroka, Michael",FF,fastball,72,0.17,0.22,0.22,-0.003,,3.2,0
"Morán, Jovani",FF,fastball,28,0.19,0.2,0.2,-0.003,,5.5,0
"Harris, Hogan",FF,fastball,80,0.19,0.2,0.2,-0.003,,3.1,0
"Lovelady, Richard",ST,breaking,40,1.25,1.64,1.64,-0.003,0.38,157.6,-0.075
"Gilbert, Logan",FF,fastball,80,0.13,0.19,0.19,-0.003,,3.9,0
"Weissert, Greg",FF,fastball,45,0.23,0.18,0.18,-0.003,,6.3,0
"Schreiber, John",FF,fastball,42,0.4,0.2,0.19,-0.003,,7.5,0
"Abbott, Andrew",FF,fastball,119,0.06,0.2,0.2,-0.003,,3.3,0
"Whitlock, Garrett",SI,fastball,40,0.06,0.19,0.19,-0.003,,3.7,0
"Teng, Kai-Wei",FF,fastball,57,0.15,0.21,0.21,-0.003,,4.5,0
"Woods Richardson, Simeon",SL,breaking,28,0.41,0.73,0.73,-0.003,0.28,34.4,-0.428
"Murray, Jayden",FF,fastball,26,0.23,0.21,0.2,-0.003,,3.4,0
"Anderson, Grant",FF,fastball,38,0.26,0.21,0.21,-0.003,,4,0
"Gaddis, Hunter",FF,fastball,34,0.29,0.18,0.18,-0.003,,3.6,0
"Kochanowicz, Jack",CH,offspeed,41,0.73,0.73,0.72,-0.003,0.2,8.5,-0.197
"Miles, Spencer",SI,fastball,35,0.05,0.2,0.2,-0.003,,4.8,-0.025
"Henderson, Logan",FF,fastball,68,0.2,0.19,0.19,-0.003,,3,0
"Kikuchi, Yusei",FF,fastball,42,0.37,0.2,0.19,-0.004,,5.3,0
"Freeland, Kyle",CH,offspeed,29,0.26,0.46,0.46,-0.004,0.22,16.6,0.087
"Freeland, Kyle",FF,fastball,59,0.09,0.2,0.2,-0.004,,5.8,0
"Fried, Max",FF,fastball,28,0.35,0.2,0.19,-0.004,,2.6,0
"Iglesias, Raisel",FF,fastball,56,0.23,0.19,0.18,-0.004,,8.1,0
"Kay, Anthony",FF,fastball,72,0.08,0.19,0.19,-0.004,,3.4,0
"Cease, Dylan",FF,fastball,97,0.28,0.24,0.23,-0.004,,3.7,0
"Newcomb, Sean",FF,fastball,56,0.51,0.18,0.18,-0.004,,4.2,0
"Peterson, David",FF,fastball,40,0.18,0.2,0.2,-0.004,,4,0
"De Los Santos, Enyel",FF,fastball,72,0.21,0.18,0.18,-0.004,,2.9,0
"Mize, Casey",FF,fastball,53,0.22,0.19,0.18,-0.004,,2.7,0
"Clarke, Taylor",SL,breaking,26,0.28,0.61,0.61,-0.004,0.27,54.2,-0.525
"Hurt, Kyle",CH,offspeed,32,1.06,0.92,0.91,-0.004,0.3,42.2,-0.02
"Festa, Matt",FF,fastball,40,0.28,0.24,0.24,-0.004,,6.9,0
"Parker, Mitchell",FF,fastball,30,0.32,0.2,0.19,-0.004,,2.7,0
"Lopez, Jacob",FF,fastball,56,0.22,0.2,0.2,-0.004,,4,0
"Franco, Jose",SL,breaking,26,0.97,0.97,0.97,-0.004,0.34,103.9,-0.788
"Imanaga, Shota",ST,breaking,48,1.55,0.97,0.97,-0.004,0.48,155.8,-0.524
"Sproat, Brandon",FF,fastball,74,0.29,0.19,0.18,-0.004,,3,0
"Bennett, Jake",FF,fastball,41,0.25,0.2,0.2,-0.004,,3.9,0
"Ureña, Walbert",FF,fastball,65,0.31,0.18,0.18,-0.004,,3.8,0
"Warren, Will",FF,fastball,87,0.24,0.24,0.24,-0.004,,4.3,0
"Dion, Will",FF,fastball,25,0.41,0.2,0.2,-0.004,,4.4,0
"Yamamoto, Yoshinobu",SI,fastball,26,0.07,0.19,0.18,-0.004,,2.9,-0.076
"Ray, Robbie",FF,fastball,113,0.13,0.19,0.19,-0.005,,3.1,0
"Rodón, Carlos",FF,fastball,31,0.16,0.19,0.19,-0.005,,3.2,0
"Alexander, Tyler",FF,fastball,32,0.15,0.19,0.19,-0.005,,3.1,0
"Kay, Anthony",ST,breaking,37,1.31,0.96,0.95,-0.005,0.54,163.8,-0.323
"Webb, Logan",FF,fastball,50,0.08,0.19,0.19,-0.005,,3.7,0
"Suarez, José",FF,fastball,48,0.15,0.19,0.19,-0.005,,3.5,0
"Martin, Davis",FF,fastball,77,0.24,0.2,0.19,-0.005,,5.3,0
"Dreyer, Jack",FF,fastball,50,0.28,0.23,0.23,-0.005,,2.7,0
"Marinaccio, Ron",FF,fastball,50,0.32,0.19,0.18,-0.005,,3.6,0
"Ferrer, José A.",SI,fastball,49,0.14,0.19,0.19,-0.005,,3,0
"Aleman, Franco",FF,fastball,28,0.25,0.25,0.25,-0.005,,2.9,0
"Vásquez, Randy",FF,fastball,92,0.14,0.19,0.18,-0.005,,2.8,0
"Gordon, Tanner",FF,fastball,71,0.14,0.17,0.16,-0.005,,2.6,0
"Pérez, Eury",ST,breaking,49,1.19,1.56,1.56,-0.005,0.6,111.8,-0.555
"Gray, Sonny",SI,fastball,35,0.09,0.2,0.19,-0.006,,11.3,0.031
"Boyd, Matthew",FF,fastball,66,0.19,0.2,0.19,-0.006,,3.3,0
"Johnson, Pierce",FF,fastball,34,0.29,0.17,0.16,-0.006,,3.3,0
"Taillon, Jameson",FF,fastball,25,0.44,0.19,0.19,-0.006,,4,0
"Rea, Colin",FF,fastball,92,0.17,0.19,0.18,-0.006,,3.4,0
"Lugo, Seth",FF,fastball,34,0.07,0.18,0.18,-0.006,,4.6,0
"Banks, Tanner",FF,fastball,34,0.72,0.17,0.17,-0.006,,4.2,0
"Castillo, Luis",FF,fastball,131,0.14,0.16,0.15,-0.006,,3.3,0
"Williams, Devin",CH,offspeed,73,0.85,1.24,1.23,-0.006,0.37,48,-0.019
"Flaherty, Jack",FF,fastball,128,0.17,0.19,0.18,-0.006,,3.6,0
"Rasmussen, Drew",FF,fastball,90,0.25,0.23,0.22,-0.006,,2.9,0
"Rasmussen, Drew",SI,fastball,44,0.12,0.2,0.19,-0.006,,11.5,-0.011
"Paddack, Chris",FF,fastball,44,0.02,0.18,0.17,-0.006,,2.3,0
"Pallante, Andre",SI,fastball,59,0.05,0.18,0.17,-0.006,,6.4,0.054
"Garcia, Rico",CH,offspeed,38,0.91,0.83,0.82,-0.006,0.39,16.7,-0.011
"Burrows, Mike",FF,fastball,48,0.06,0.18,0.17,-0.006,,4.1,0
"Sabrowski, Erik",FF,fastball,47,0.73,0.25,0.24,-0.006,,3.3,0
"Kochanowicz, Jack",FF,fastball,44,0.14,0.18,0.18,-0.006,,4.3,0
"Gusto, Ryan",FF,fastball,30,0.5,0.21,0.2,-0.006,,3.1,0
"McGreevy, Michael",FF,fastball,60,0.1,0.18,0.18,-0.006,,3.3,0
"Imai, Tatsuya",FF,fastball,43,0.29,0.18,0.18,-0.006,,3.4,0
"Kelly, Merrill",FF,fastball,44,0.05,0.19,0.19,-0.007,,2.9,0
"Rodriguez, Eduardo",FF,fastball,125,0.33,0.19,0.19,-0.007,,3.7,0
"Romano, Jordan",FF,fastball,28,0.32,0.2,0.2,-0.007,,5.4,0
"Lauer, Eric",FF,fastball,107,0.14,0.18,0.18,-0.007,,2.9,0
"Soroka, Michael",SV,breaking,96,1.42,1.21,1.2,-0.007,0.54,170.9,-0.14
"Griffin, Foster",FF,fastball,51,0.21,0.19,0.18,-0.007,,3.2,0
