pitcher,season,pitch_type,arm,relx,relz,ht_in,p_throws,ht_ft,ax
677944,2026,CU,46.775,-1.95989583333333,6.00145833333333,76,R,6.33333333333333,1.95989583333333
677944,2026,SL,39.1760869565217,-2.26108695652174,5.85934782608696,76,R,6.33333333333333,2.26108695652174
677944,2023,SL,37.5081632653061,-1.92061224489796,5.64040816326531,76,R,6.33333333333333,1.92061224489796
677944,2024,CH,32.0828947368421,-2.13973684210526,5.50684210526316,76,R,6.33333333333333,2.13973684210526
677944,2024,CU,46.6045454545455,-1.76204545454545,5.83068181818182,76,R,6.33333333333333,1.76204545454545
677944,2025,CH,36.0564516129032,-1.83951612903226,5.73161290322581,76,R,6.33333333333333,1.83951612903226
677944,2024,SL,38.7576388888889,-1.90569444444445,5.67118055555556,76,R,6.33333333333333,1.90569444444445
677952,2025,CU,44.32375,-0.953875,6.364375,77,R,6.41666666666667,0.953875
677952,2026,CU,40.7726530612245,-0.798489795918368,6.23469387755102,77,R,6.41666666666667,0.798489795918368
677952,2026,SL,37.7267206477733,-0.907246963562753,6.14396761133603,77,R,6.41666666666667,0.907246963562753
677952,2025,SL,40.9735,-1.06635,6.2499,77,R,6.41666666666667,1.06635
677952,2026,FS,36.045,-1.008,6.05575,77,R,6.41666666666667,1.008
677955,2025,SL,25.065306122449,-1.39469387755102,5.68551020408163,76,R,6.33333333333333,1.39469387755102
677955,2026,SL,24.1377358490566,-1.32811320754717,5.56207547169811,76,R,6.33333333333333,1.32811320754717
677955,2026,CH,22.6333333333333,-1.19311111111111,5.47666666666667,76,R,6.33333333333333,1.19311111111111
677955,2025,CH,24.5086956521739,-1.30521739130435,5.60565217391304,76,R,6.33333333333333,1.30521739130435
677958,2025,SL,37.0344444444444,-1.98766666666667,5.89877777777778,77,R,6.41666666666667,1.98766666666667
677958,2026,SL,40.0887820512821,-2.04939102564103,5.99522435897436,77,R,6.41666666666667,2.04939102564103
677960,2026,ST,29.4841121495327,2.94532710280374,5.31196261682243,73,L,6.08333333333333,2.94532710280374
677960,2025,ST,37.5326086956522,3.265,5.60413043478261,73,L,6.08333333333333,3.265
677960,2025,CH,38.2212765957447,3.12574468085106,5.59340425531915,73,L,6.08333333333333,3.12574468085106
