player_name,pitch_type,grp,n,act,base,aug,gain,path_ratio,axis_diff,as_gap
"Rodriguez, Eduardo",CU,breaking,99,0.77,0.97,0.85,-0.125,0.47,147.1,-0.353
"McCullers Jr., Lance",KC,breaking,53,1.12,0.96,0.83,-0.127,0.36,170.1,-0.028
"Ferguson, Caleb",FC,fastball,44,0.58,0.6,0.47,-0.129,,51.9,-0.575
"Gore, MacKenzie",FC,fastball,86,0.36,0.64,0.51,-0.129,,12.7,-0.382
"O'Brien, Riley",ST,breaking,84,3.22,2.9,2.77,-0.129,0.61,171.9,-0.135
"Meyer, Max",CH,offspeed,79,1.08,1.1,0.97,-0.129,0.41,12.4,0.022
"Crochet, Garrett",FC,fastball,72,0.3,0.73,0.6,-0.129,,48.3,-0.478
"Burke, Sean",FC,fastball,60,0.69,0.6,0.47,-0.13,,14,-0.283
"Skenes, Paul",SL,breaking,69,1.04,1.86,1.73,-0.13,0.35,126.5,-0.712
"Messick, Parker",SL,breaking,48,0.91,1.03,0.9,-0.13,0.24,66,-0.527
"Prielipp, Connor",CU,breaking,79,1.43,1.97,1.84,-0.132,0.44,175.5,-0.261
"Lauer, Eric",CH,offspeed,100,0.12,0.79,0.66,-0.135,0.23,17.6,0.017
"Mahle, Tyler",SL,breaking,55,0.99,1.44,1.3,-0.135,0.32,117.5,-0.686
"Beck, Tristan",ST,breaking,45,0.43,1.2,1.06,-0.135,0.32,156.2,-0.373
"Phillips, Connor",ST,breaking,117,2.73,1.73,1.6,-0.135,0.63,157.9,-0.381
"Nelson, Ryne",SL,breaking,138,0.91,1.33,1.19,-0.136,0.27,61.8,-0.652
"Bradley, Taj",FC,fastball,253,1.31,1,0.86,-0.136,,45.8,-0.564
"Bibee, Tanner",CU,breaking,96,1.25,1.16,1.03,-0.136,0.59,163.9,-0.2
"Morris, Andrew",FC,fastball,77,0.62,0.75,0.62,-0.136,,45.8,-0.4
"Baker, Bryan",CH,offspeed,157,1,2.06,1.92,-0.137,0.43,20.9,-0.065
"Cease, Dylan",KC,breaking,46,2.03,1.73,1.59,-0.138,0.49,170.9,-0.196
"Schultz, Noah",FC,fastball,93,0.22,0.7,0.56,-0.138,,37.8,-0.43
"Mears, Nick",SL,breaking,46,1.29,2.46,2.32,-0.139,0.36,160.5,-0.658
"Myers, Tobias",SL,breaking,48,0.89,0.85,0.71,-0.14,0.34,73,-0.584
"Nelson, Ryne",CU,breaking,42,0.81,1.89,1.75,-0.14,0.51,153.2,-0.402
"Murphy, Chris",SL,breaking,72,1.21,0.91,0.77,-0.14,0.23,48.1,-0.503
"Prielipp, Connor",SL,breaking,175,1.03,1.84,1.7,-0.141,0.28,135.3,-0.701
"Peralta, Wandy",SL,breaking,62,1.33,1.07,0.93,-0.142,0.24,11.6,-0.626
"Dotel, Wilber",FC,fastball,44,0.57,0.73,0.59,-0.142,,28,-0.441
