player_name,pitch_type,grp,n,act_miss,base,aug,gain,path_ratio,axis_diff,eff_diff_k
"Burns, Chase",SL,breaking,125,2.26,1.31,1.17,-0.145,0.21,78.4,0.05
"Morejon, Adrian",CH,offspeed,47,1.09,1.08,0.94,-0.147,0.2,37.2,0.04
"Patrick, Chad",SV,breaking,32,0.59,0.78,0.63,-0.148,0.23,136.3,0.04
"Peralta, Freddy",CU,breaking,48,1.82,1.4,1.25,-0.15,0.48,146.4,0.03
"Alcantara, Sandy",SL,breaking,30,0.32,0.92,0.77,-0.15,0.53,161,0.05
"McDonald, Trevor",CH,offspeed,31,0.95,1.09,0.94,-0.15,0.3,4.1,0.01
"Suarez, Robert",CH,offspeed,42,0.71,0.97,0.82,-0.151,0.19,27.6,0.01
"Lopez, Jacob",SL,breaking,77,0.78,1.59,1.44,-0.151,0.64,153.8,0.03
"Baz, Shane",FC,fastball,29,0.18,0.69,0.53,-0.153,,30,0.04
"Alexander, Tyler",CH,offspeed,37,0.64,0.75,0.6,-0.154,0.22,16.6,0.01
"Medina, Luis",CH,offspeed,30,2.31,0.92,0.76,-0.154,0.22,14.2,0.01
"Woo, Bryan",ST,breaking,62,1.92,1.24,1.09,-0.154,0.45,159,0.03
"Burrows, Mike",CU,breaking,42,1.39,1.12,0.96,-0.156,0.73,172,0.02
"Pérez, Eury",CH,offspeed,27,1.56,0.99,0.83,-0.161,0.22,17.7,0.02
"Treinen, Blake",ST,breaking,30,1.37,1.14,0.98,-0.163,0.42,174.3,0.03
"Civale, Aaron",CU,breaking,58,0.77,0.76,0.6,-0.163,0.74,166.3,0.01
"Hader, Josh",SL,breaking,26,2.93,2.78,2.61,-0.164,0.3,114.8,0.06
"Kerkering, Orion",ST,breaking,53,1.12,1.25,1.08,-0.164,0.49,169.5,0.03
"Stanek, Ryne",FS,offspeed,33,1.6,1.14,0.97,-0.166,0.28,22.6,0.02
"Gore, MacKenzie",FC,fastball,26,0.13,0.54,0.37,-0.168,,15.7,0.04
"Headrick, Brent",SL,breaking,54,2.51,1.21,1.04,-0.172,0.42,36.3,0.05
"Lambert, Peter",ST,breaking,32,0.74,0.93,0.75,-0.182,0.45,161,0.02
"Fisher, Braydon",CU,breaking,33,0.93,0.77,0.59,-0.184,0.49,174.7,0.02
"Lovelady, Richard",ST,breaking,40,1.25,1.98,1.8,-0.188,0.38,157.6,0.01
"Blubaugh, AJ",ST,breaking,28,2.08,0.91,0.72,-0.19,0.47,147.2,0.04
"Garcia, Brandyn",ST,breaking,31,2.7,1.88,1.69,-0.196,0.32,164.5,0.02
"Fairbanks, Pete",FC,fastball,31,1.29,0.95,0.75,-0.199,,107.4,0.04
"Cabrera, Edward",CU,breaking,28,1.76,1.68,1.48,-0.2,0.42,168.6,0.03
"Early, Connelly",ST,breaking,39,2.39,2.06,1.85,-0.203,0.53,171.3,0.02
"Bibee, Tanner",FC,fastball,53,0.6,0.9,0.69,-0.209,,108.3,0.04
"Sasaki, Roki",FS,offspeed,95,0.62,1.3,1.09,-0.213,0.26,30.3,0.02
"Vest, Will",SL,breaking,30,0.45,2.05,1.83,-0.214,0.28,160.3,0.05
"Harrison, Kyle",SV,breaking,78,1.3,1.89,1.68,-0.214,0.5,169.8,0.02
"Soto, Gregory",SL,breaking,36,1.99,1.64,1.43,-0.215,0.58,141,0.04
"Rasmussen, Drew",FC,fastball,69,0.9,1,0.79,-0.217,,78.3,0.04
"Antone, Tejay",ST,breaking,53,1.01,1.56,1.34,-0.221,0.36,164,0.01
"Raley, Brooks",ST,breaking,42,1.03,1.08,0.85,-0.225,0.42,155.5,0.01
"Thielbar, Caleb",CU,breaking,29,1.14,0.72,0.49,-0.231,0.78,164.7,0.02
"Webb, Logan",ST,breaking,25,0.43,1.33,1.1,-0.232,0.35,175.8,0.01
"Perkins, Jack",ST,breaking,51,0.63,1.68,1.45,-0.232,0.38,169.3,0.03
"Bassitt, Chris",CU,breaking,37,0.82,1.06,0.83,-0.236,1.18,176,0.01
"Tolle, Payton",FC,fastball,46,0.31,0.95,0.71,-0.239,,41.4,0.04
"Nance, Tommy",CU,breaking,56,0.74,1.2,0.95,-0.245,0.48,158.6,0.01
"Cantillo, Joey",CU,breaking,108,1.27,0.83,0.59,-0.248,0.7,176.7,0.01
"Petersen, Michael",SL,breaking,27,1.25,1.54,1.29,-0.249,0.38,134.1,0.06
"Prielipp, Connor",SL,breaking,56,1.07,1.64,1.38,-0.26,0.28,159.3,0.05
"Bazardo, Eduard",ST,breaking,38,0.52,0.72,0.46,-0.262,0.7,172.7,0.03
"Banda, Anthony",SL,breaking,53,1.67,1.52,1.25,-0.265,0.39,169.1,0.03
"Gilbert, Logan",SL,breaking,71,1.36,1.48,1.21,-0.274,0.3,156.2,0.05
"Romero, JoJo",ST,breaking,43,2.37,2.14,1.86,-0.282,0.68,172.8,0.02
"Ray, Robbie",KC,breaking,28,0.84,0.69,0.4,-0.283,0.52,173.4,0.03
"Ashby, Aaron",CU,breaking,31,2.88,2.62,2.34,-0.284,0.63,172.7,0.01
"Gibson, Trey",SL,breaking,34,1.13,1.84,1.55,-0.296,0.25,173.2,0.04
"Early, Connelly",CU,breaking,33,1.23,2.06,1.76,-0.3,0.48,170,0.02
"Garcia, Julian",ST,breaking,32,1,2.11,1.8,-0.305,0.53,142.3,0.01
"Richards, Trevor",CH,offspeed,43,3.03,1.12,0.81,-0.313,0.66,60.9,0.04
"Detmers, Reid",CU,breaking,31,1.38,0.9,0.59,-0.314,1.56,175.4,0.02
"Mayza, Tim",SL,breaking,37,0.98,1.26,0.95,-0.318,0.28,167.6,0.05
"Warren, Austin",ST,breaking,27,1.02,1.44,1.11,-0.332,0.46,175.6,0.02
"Davila, Nick",SL,breaking,43,0.21,0.98,0.64,-0.344,0.32,150.1,0.04
"McDonald, Trevor",SL,breaking,50,1.99,3.3,2.95,-0.35,0.35,149.2,0.03
"Smith, Cade",FS,offspeed,44,1.41,1.97,1.61,-0.355,0.29,103.6,0.07
"Erceg, Lucas",SL,breaking,40,0.69,1.97,1.58,-0.39,0.51,156.7,0.05
"Canning, Griffin",SL,breaking,36,1.24,1.67,1.27,-0.396,0.27,167.6,0.05
"Whitlock, Garrett",SL,breaking,38,2.31,1.93,1.53,-0.402,0.29,154,0.05
"Brash, Matt",SL,breaking,25,1.61,2.23,1.82,-0.416,0.38,171.2,0.03
"Hoffman, Jeff",SL,breaking,56,2.51,2.57,2.13,-0.438,0.34,149.4,0.05
"Faucher, Calvin",ST,breaking,31,0.97,1.52,1.02,-0.502,0.27,168.9,0.02
"Anderson, Grant",ST,breaking,40,1.46,1.05,0.55,-0.502,0.51,153.9,0.05
"Henriquez, Edgardo",SL,breaking,26,2.17,1.9,1.35,-0.55,0.41,134.5,0.05
"Baz, Shane",KC,breaking,132,1.11,2.74,2.11,-0.622,0.35,175.3,0.02
"Bradley, Taj",CU,breaking,40,1.62,1.53,0.75,-0.78,0.52,174.9,0.02
"Montgomery, Mason",CU,breaking,26,0.74,3.4,2.33,-1.072,0.5,164.7,0.04
