player_name,pitch_type,n,whiff,res_shape,res_loc,spin_sim,as_gap,axis
"Feltner, Ryan",CH,349,0.401,0.077057022963375,0.0714748149588011,0.166066044841572,-0.139389684813754,5.8546641499312
"Lambert, Peter",CH,412,0.34,0.0808549196758757,0.0710044167182335,0.787430097986237,0.0150922330097087,20.312214957625
"Blackburn, Paul",CH,312,0.311,0.0672866239414884,0.0700367859088932,0.410834776838382,-0.0966282051282051,8.5962751739662
"Alexander, Jason",CH,269,0.368,0.0441938514903388,0.0698290530783613,0.49690898091022,0.0539925650557621,28.6456887490443
"Gore, MacKenzie",CH,367,0.439,0.0727039116318027,0.0691724883325632,0.68330909684342,0.00586376021798365,26.7264797190837
"Beeks, Jalen",CH,351,0.35,0.0935459783104016,0.0687905858119706,0.779085896980079,-0.0188233618233619,20.611429294274
"Adam, Jason",CH,455,0.332,0.0242853215553521,0.068254771704227,0.364170880689975,-0.0911758241758242,20.4009417615292
"Burrows, Mike",CH,433,0.358,0.05275983861434,0.0682387915845799,0.644252812000429,0.0332494226327945,25.1178390496612
"Ginn, J.T.",CH,290,0.366,0.109850197229636,0.0675776058979974,0.532145245126407,-0.0578034482758622,12.9378196119193
"Walter, Brandon",CH,91,0.352,0.0746913138399785,0.0674093949001731,0.236822987226016,0.0735824175824177,43.3453496569477
"Jobe, Jackson",CH,57,0.421,0.0684443928954624,0.0659107086348975,0.422429137258016,0.038,38.1860705063002
"Hernández, Carlos",FS,129,0.411,0.0484345542355935,0.0655394113668991,0.876110566713665,-0.0329922480620156,4.32143234225754
"Henry, Tommy",CH,83,0.265,0.00779257051708354,0.0635969686394907,0.623328336608692,0.0359156626506024,25.9115614135325
"Martinez, Justin",FS,173,0.526,0.106720260024633,0.0634241164019484,0.50885753615298,-0.00107514450867065,34.920604515782
"DeSclafani, Anthony",FS,61,0.443,0.127283613294317,0.0630655026297708,0.00336891233467342,-0.236,15.0414737424829
"Gaddis, Hunter",CH,161,0.354,0.0136864956510542,0.0629153858759327,0.411823019298321,0.0335900621118012,39.4418079171169
"Petty, Chase",CH,41,0.317,-0.0164173352928554,0.0623975850912592,0.331417079294593,-0.0910000000000001,23.376135062814
"Williamson, Brandon",CH,170,0.347,0.05970248980344,0.0621685359330127,0.595659505934383,-0.00120000000000001,32.2441838587427
"Eisert, Brandon",CH,221,0.376,0.0492836085923395,0.0620714526381534,0.555435771965237,-0.0686470588235295,14.258888921465
"Matsui, Yuki",FS,393,0.422,0.102541198701019,0.0612409507644691,0.00555225511905708,-0.250404580152672,33.8709708351316
"Cruz, Fernando",FS,790,0.549,0.0844200605790526,0.0599210188512372,0.000102748840181626,-0.396513924050633,26.6434990572621
"Raley, Brooks",CH,86,0.279,0.0595791392545233,0.0598593783554372,0.208244430066323,0.12256976744186,21.0863034015885
"Leclerc, José",CH,101,0.436,0.162963491651749,0.0595632935167701,0.821655104672323,0.0345544554455445,5.69331011569316
"Davies, Zach",CH,65,0.385,0.106863946239638,0.0595430734839025,0.729814339914059,0.0380000000000001,18.4285454786134
"Neal, Zach",CH,52,0.269,0.0177379461335014,0.0590631090741167,0.275306913651487,0.111,10.1424886797486
"Martinez, Seth",CH,54,0.278,0.0265745692749976,0.0586081149245419,0.796736248897178,-0.0359999999999999,13.6590612576826
"Myers, Tobias",CH,103,0.427,0.0738554031529416,0.0576886826905899,0.812445031030677,-0.0091359223300971,19.8734511295417
"Alexander, Scott",CH,72,0.417,0.144857222767758,0.057333738997821,0.721417425123587,0.00422222222222219,7.18555214419434
"Urías, Julio",CH,75,0.307,0.0428811934385739,0.0571700365484026,0.266388414426536,0.106,19.7660459834768
"Robertson, Nick",CH,53,0.358,0.033358003381359,0.0567782454355123,0.555141360144451,0.0237358490566039,32.61763773468
"Rutledge, Jackson",FS,58,0.293,-0.0249772917545116,0.0565642180081206,0.677583289658252,-0.05,16.3207399316393
"Imanaga, Shota",FS,1242,0.367,0.0478752872747898,0.0560544379660817,0.624864155049145,-0.0556119162640901,17.135164045758
"Weaver, Luke",CH,551,0.417,0.102468024734928,0.0557197956851917,0.27524275488154,-0.115059891107078,15.9040153826647
"Domínguez, Seranthony",FS,126,0.508,0.146797073159251,0.055225261840615,0.0940339509793195,0.124444444444445,42.9939915369296
"Keller, Brad",CH,134,0.373,0.0933156287142754,0.0546610689857564,0.599646087345544,0.0473805970149254,11.4247198388672
"Iglesias, Raisel",CH,562,0.347,0.0636592201698436,0.0545167825086458,0.790445562046937,-0.0159857651245551,19.8354284174262
"Fulmer, Carson",CH,301,0.342,0.0724684864881814,0.0536280360386664,0.633962490198381,0.041156146179402,22.7972427413125
"Gordon, Colton",CH,73,0.274,0.00288789522319123,0.0532475168324369,0.562493504129034,-0.0731095890410958,7.93203992041
"Zerpa, Angel",CH,122,0.27,0.00742110528345937,0.0515178299785995,0.704925346015149,0.0521393442622952,8.53418001721575
"Strickland, Hunter",CH,47,0.319,0.100382303134384,0.0514575766707664,0.295953797497781,0.108425531914894,7.28167673393999
"Henriquez, Ronny",CH,123,0.309,-0.0479831512480406,0.050725428797618,0.371128229601878,0.0645365853658536,33.9848362191004
"Castro, Miguel",CH,68,0.294,0.0314162602906081,0.0499723099206727,0.818846657835899,-0.0415588235294118,3.97271826477814
"Schwellenbach, Spencer",FS,250,0.436,0.0678606003074401,0.0498350057231483,0.44480565164656,-0.015548,30.094967231477
"Waldrep, Hurston",FS,172,0.401,0.0764281431289103,0.0497613266377784,0.353275797987325,0.0325697674418607,36.8666318615799
"Montero, Rafael",FS,251,0.359,0.0637596011049819,0.0496802296824285,0.245462356450678,-0.113,15.5765313872897
"Eovaldi, Nathan",FS,1245,0.338,0.0397193245052343,0.0489771449924301,0.340364587477633,-0.101655421686747,10.8825662496616
"Johnson, Ryan",FS,108,0.324,0.0719372110257801,0.0487925430236274,0.297131613196066,-0.0856574074074074,21.608552153619
"Wheeler, Zack",FS,375,0.411,0.078158979160999,0.0487918031602392,0.771474999189503,0.00554400000000006,13.2135211951062
"Brito, Jhony",CH,211,0.261,-0.0168406434801284,0.0487388500672046,0.73472259476925,0.0477582938388626,11.2202122919595
"Ramirez, Emmanuel",FS,68,0.471,0.127175272805216,0.0475960269697998,0.00707250183768797,-0.177,68.807638716632
"Gibson, Kyle",CH,257,0.331,0.0640853707322825,0.0467980612681318,0.49790893048938,-0.0754007782101167,15.6470755301211
"Povich, Cade",CH,221,0.294,3.23715203300687e-05,0.0467046295543184,0.379157605354132,-0.106574660633484,17.3452335295028
"Lee, Dylan",CH,183,0.366,0.0617348064997599,0.0466592942042191,0.865580518646427,-0.00540983606557385,16.6094371784593
"Seymour, Ian",CH,361,0.346,0.0333724512917022,0.0459943271271973,0.732398460538139,0.0237894736842105,21.9943134408882
"Kahnle, Tommy",CH,862,0.295,0.000582065075919105,0.044275735487002,0.288967710409773,0.050437354988399,44.8229162531456
"Winn, Cole",FS,102,0.314,-0.0277925480263872,0.0439564051317203,0.581033075538134,-0.0332549019607843,27.4274941349352
"Thorpe, Drew",CH,137,0.365,0.0572591742158506,0.0435283209281403,0.512163169560942,0.069,19.5651160096248
"Ober, Bailey",CH,1256,0.317,0.0231037549351761,0.0424860617653579,0.235377587426743,0.0883805732484077,37.1143020245813
"Jackson, Andre",CH,107,0.299,0.015308207608693,0.0422610810963192,0.332856031125713,-0.0720000000000001,34.3402801312458
"Cantillo, Joey",CH,567,0.443,0.0272999775133255,0.0421067009348902,0.747110173399046,-0.00126102292768959,23.5558314765576
"Hart, Kyle",CH,44,0.318,0.0465904254021715,0.041997519119451,0.218563439255761,0.112,23.0360367516197
"Stone, Gavin",CH,346,0.367,0.0704786557025843,0.0418101557805254,0.616501664584579,0.0374335260115607,26.2533356112096
"Parker, Mitchell",FS,394,0.33,0.0424178133826745,0.0415023051326118,0.24787314927975,-0.125068702290076,14.9171304558685
"deGrom, Jacob",CH,247,0.409,0.0470115357410832,0.041424021005026,0.72256303898588,-0.040740890688259,15.9538538433469
"Brown, Ben",CH,61,0.295,0.0190083935240004,0.0412680755167199,0.551661413644827,-0.0926229508196721,10.7273466143276
"McCullers Jr., Lance",CH,124,0.258,-0.00473070155018901,0.0412099632077045,0.269533805684201,0.0913709677419355,31.5946961280231
"Loáisiga, Jonathan",CH,163,0.313,0.0107272981029592,0.0408504284103542,0.482058783352332,0.0743865030674846,18.3878070504924
"Miller, Shelby",FS,209,0.354,0.0328608369081862,0.0391062633962996,0.338476040630845,-0.0978373205741627,16.6286007245506
"Morton, Charlie",CH,335,0.278,-0.0225070033003586,0.039064780559609,0.303510521229612,0.00977014925373139,27.7229140771736
"Griffin, Foster",CH,87,0.345,0.0351401358557964,0.0390428438784984,0.823093725774358,-0.019,17.6241117917897
"Painter, Andrew",FS,84,0.369,0.0429214225303098,0.0378771070278492,0.0932596942532022,-0.15,14.7250132144796
"Pilkington, Konnor",CH,44,0.341,0.0437270727979918,0.0374086045765036,0.46387716226199,-0.07,23.5483226282761
"Romero, JoJo",CH,292,0.318,0.0367574972884303,0.0373982265248697,0.270828812311417,0.10686301369863,18.9631874092463
