pitcher,season,fb_type
573204,2020,FF
573204,2021,FF
573204,2022,FF
573204,2023,FF
573204,2024,FF
573204,2025,FF
573204,2026,FF
573668,2021,FF
573668,2022,FF
579328,2020,FF
579328,2021,FF
579328,2022,FF
579328,2023,FF
579328,2024,FF
579328,2025,FF
579328,2026,FF
580792,2020,FF
592094,2020,FF
592094,2021,FF
592094,2022,FF
592094,2023,FF
592094,2024,FF
592094,2025,FF
592094,2026,FF
592135,2020,FF
592135,2021,FF
592145,2021,FF
592155,2024,FF
592155,2025,FF
592155,2026,FF
592165,2020,SI
592169,2020,FF
592169,2021,FF
592222,2020,SI
592222,2021,FF
592229,2023,SI
592233,2020,SI
592233,2021,SI
592254,2020,FF
592254,2021,FF
592254,2023,FF
592288,2021,SI
592288,2024,SI
592314,2021,FF
592332,2020,FF
592332,2021,FF
592332,2022,FF
592332,2023,FF
592332,2024,FF
592332,2025,FF
592332,2026,FF
592346,2020,FF
592346,2021,FF
592346,2022,FF
592351,2020,FF
592351,2021,FF
592351,2022,FF
592351,2023,FF
592351,2024,FF
592351,2025,FF
592390,2020,FF
592390,2021,FF
592390,2022,FF
592426,2020,FF
592426,2021,FF
592426,2023,FF
592426,2024,FF
592426,2025,FF
592454,2023,FF
592454,2024,FF
592454,2025,FF
592454,2026,FF
592473,2020,SI
592473,2021,SI
592473,2022,SI
592612,2020,FF
592612,2021,FC
592644,2020,FF
592644,2021,FF
592662,2020,FF
592662,2021,FF
592662,2022,FF
592662,2023,FF
592662,2024,FF
592662,2025,FF
592662,2026,FF
592716,2021,FF
592716,2022,FF
592717,2021,FF
592717,2022,FF
592741,2020,FF
592741,2021,FF
592741,2022,FF
592741,2023,FF
592761,2020,FF
592761,2021,FF
592761,2022,FF
592767,2020,SI
592767,2021,SI
592767,2022,SI
592767,2023,SI
592767,2024,SI
592773,2020,FF
592773,2021,FF
592773,2022,FF
592773,2023,FF
592773,2024,FF
592773,2025,FF
592773,2026,FF
592779,2023,FF
592779,2024,FF
592779,2025,FF
592779,2026,FF
592789,2022,FF
592789,2023,FF
592791,2021,FF
592791,2022,FF
592791,2023,FF
592791,2024,FF
592791,2025,FF
592791,2026,FF
592804,2020,FF
592804,2022,FF
592811,2020,SI
592826,2020,FF
592826,2021,FF
592826,2022,FF
592826,2023,FF
592831,2021,SI
592836,2020,FF
592836,2021,FF
592836,2022,FF
592836,2023,FF
592836,2024,FF
592836,2025,FF
592836,2026,SI
592848,2022,FF
592848,2023,FF
592858,2020,FF
592858,2021,FF
592858,2022,FF
592865,2020,FF
592865,2021,FF
592866,2020,FF
592866,2021,FF
592866,2022,FF
592866,2023,FF
592866,2024,FF
592866,2025,FF
592879,2020,FF
593140,2021,FF
593144,2020,FF
593144,2021,FF
593334,2021,FF
593334,2022,FF
593334,2023,FF
593334,2024,FF
593372,2020,FF
593372,2021,FF
593423,2020,FF
593423,2021,FF
593423,2022,FF
593423,2024,FF
593423,2025,FF
593576,2020,FF
593576,2021,FF
593576,2022,FF
593576,2023,FF
593576,2024,FF
593576,2025,FF
593604,2021,FF
593619,2021,FF
593619,2022,FF
593619,2023,FF
593833,2020,FC
593833,2021,FC
593833,2023,FC
593833,2025,FC
593958,2021,FF
593958,2022,FF
593958,2023,FF
593958,2024,FF
593958,2025,FF
593958,2026,FF
593974,2020,FF
593974,2021,FF
593974,2022,SI
593974,2023,SI
593974,2024,SI
593974,2025,SI
593974,2026,FF
594027,2026,SI
594056,2021,FF
594311,2021,FF
594311,2022,SI
594577,2020,FF
594577,2021,FF
594577,2022,FF
594577,2023,FF
594580,2021,SI
594580,2022,SI
594580,2023,FF
594580,2024,FF
594580,2025,FF
594580,2026,FF
594795,2020,FF
594795,2021,FF
594798,2020,FF
594798,2021,FF
594798,2022,FF
594798,2023,FF
