player_name,pitch_type,grp,n,act_miss,base,aug,gain,path_ratio,axis_diff
"Peterson, David",FF,fastball,122,0.15,0.17,0.18,0.006,,5
"Feltner, Ryan",SI,fastball,56,0.16,0.17,0.18,0.006,,6.3
"Cabrera, Edward",SI,fastball,102,0.05,0.17,0.18,0.006,,3.2
"Strider, Spencer",SL,breaking,55,3.1,2.4,2.4,0.006,0.5,35.6
"Avila, Luinder",FF,fastball,92,0.28,0.24,0.24,0.006,,3.9
"Vásquez, Randy",SI,fastball,73,0.1,0.17,0.17,0.006,,3.8
"Morgan, David",FF,fastball,40,0.33,0.26,0.27,0.006,,5
"Pfaadt, Brandon",CH,offspeed,53,0.51,0.88,0.88,0.006,0.19,16.5
"Paredes, Mike",FF,fastball,71,0.12,0.17,0.18,0.006,,3.2
"Fedde, Erick",SI,fastball,136,0.11,0.17,0.17,0.005,,4.9
"Sugano, Tomoyuki",SI,fastball,95,0,0.14,0.15,0.005,,3
"Wacha, Michael",SI,fastball,94,0.08,0.13,0.14,0.005,,4.9
"Griffin, Foster",CH,offspeed,61,1.67,1.69,1.7,0.005,0.31,17.5
"Hill, Tim",SI,fastball,149,0.1,0.15,0.15,0.005,,3.6
"Thornton, Trent",FF,fastball,53,0.23,0.2,0.21,0.005,,3.9
"Assad, Javier",FF,fastball,72,0.15,0.16,0.16,0.005,,3.4
"Soriano, José",FS,offspeed,102,1.23,0.8,0.81,0.005,0.17,9.5
"Erceg, Lucas",SI,fastball,55,0.11,0.17,0.17,0.005,,5.7
"Liberatore, Matthew",SI,fastball,58,0.09,0.17,0.18,0.005,,4.1
"Kirby, George",SI,fastball,125,0.09,0.19,0.2,0.005,,2.6
"Sears, JP",FF,fastball,48,0.08,0.18,0.18,0.005,,2.5
"Madden, Ty",FF,fastball,52,0.22,0.16,0.17,0.005,,5.2
"Barnett, Mason",FF,fastball,45,0.23,0.17,0.18,0.005,,3.6
"Young, Brandon",FF,fastball,210,0.17,0.17,0.17,0.005,,3.3
"Dodd, Dylan",SI,fastball,91,0.14,0.17,0.18,0.005,,2.7
"Adams, Travis",FF,fastball,49,0.09,0.2,0.2,0.005,,4.2
"Warren, Will",FF,fastball,193,0.15,0.24,0.24,0.005,,3.8
"Armstrong, Shawn",FF,fastball,50,0.16,0.17,0.17,0.004,,4.2
"Wheeler, Zack",SI,fastball,99,0.11,0.16,0.17,0.004,,2.2
"Ray, Robbie",FF,fastball,196,0.26,0.18,0.18,0.004,,3.2
"Glasnow, Tyler",SI,fastball,44,0.25,0.22,0.23,0.004,,6.6
"Martinez, Nick",FF,fastball,54,0.09,0.16,0.16,0.004,,3.1
"Alexander, Tyler",CH,offspeed,55,0.44,1.04,1.05,0.004,0.22,18.9
"Sulser, Cole",FF,fastball,122,0.13,0.18,0.19,0.004,,2.4
"De Jesus, Enmanuel",FF,fastball,55,0.16,0.18,0.18,0.004,,2
"Soroka, Michael",FF,fastball,120,0.1,0.22,0.22,0.004,,3.3
"Cease, Dylan",FF,fastball,197,0.21,0.25,0.26,0.004,,3.7
"Rangel, Alan",FF,fastball,52,0.02,0.18,0.18,0.004,,2.8
"Suarez, José",FF,fastball,96,0.26,0.19,0.19,0.004,,4.1
"Kilian, Caleb",FF,fastball,106,0.1,0.22,0.22,0.004,,3.4
"Nelson, Ryne",FF,fastball,232,0.13,0.2,0.21,0.004,,3.5
"Wells, Tyler",FF,fastball,69,0.27,0.19,0.19,0.004,,2.7
"Rogers, Trevor",CH,offspeed,141,1.01,1.09,1.1,0.004,0.25,14.2
"Teng, Kai-Wei",FF,fastball,86,0.13,0.21,0.21,0.004,,5.4
"Weiss, Ryan",FF,fastball,49,0.02,0.2,0.21,0.004,,2.6
"Ribalta, Orlando",FF,fastball,42,0.39,0.27,0.27,0.004,,3.5
"Beeter, Clayton",FF,fastball,80,0.22,0.21,0.21,0.004,,2.7
"Elder, Bryce",FF,fastball,101,0.1,0.16,0.16,0.004,,3
"Schweitzer, Tyler",FF,fastball,43,0.23,0.2,0.21,0.004,,4.5
"Early, Connelly",FF,fastball,163,0.16,0.19,0.2,0.004,,3.3
"Cruz, Fernando",FF,fastball,76,0.14,0.16,0.17,0.003,,3.4
"Mikolas, Miles",SI,fastball,163,0.18,0.14,0.15,0.003,,4.2
