ptype,regime,driver,n_train,n_test,gain,grp
FS,1 strike,Spin similarity,9277,2642,-0.00843749415671702,Offspeed
FS,1 strike,Active-spin gap,9334,2672,0.893571465070466,Offspeed
FS,1 strike,Velocity gap,9339,2660,0.328124155116179,Offspeed
FS,1 strike,Movement gap,9339,2660,-0.121974235764124,Offspeed
FS,1 strike,Location (reference),9405,2716,15.7271909477198,Offspeed
FS,2 strikes,Trajectory tunnel,3718,991,0.422911682168414,Offspeed
FS,2 strikes,Spin-axis gap,10692,2969,0.0027877200431294,Offspeed
FS,2 strikes,Spin similarity,10657,2950,0.137299629300386,Offspeed
FS,2 strikes,Active-spin gap,10724,2996,0.561148671471579,Offspeed
FS,2 strikes,Velocity gap,10729,2973,0.261322659167953,Offspeed
FS,2 strikes,Movement gap,10729,2973,0.128452497278103,Offspeed
FS,2 strikes,Location (reference),10819,3064,13.9573752910094,Offspeed
FS,All counts,Trajectory tunnel,7621,2028,0.251099316378844,Offspeed
FS,All counts,Spin-axis gap,24702,7148,0.117976598967029,Offspeed
FS,All counts,Spin similarity,24625,7113,0.0998256913160569,Offspeed
FS,All counts,Active-spin gap,24775,7206,0.720565583682819,Offspeed
FS,All counts,Velocity gap,24780,7161,0.779245524182555,Offspeed
FS,All counts,Movement gap,24780,7161,-0.0126343328865444,Offspeed
FS,All counts,Location (reference),24976,7333,13.301684845408,Offspeed
