pitcher,grp,pitch_type,player_name,n,resid_pp,whiff_pct,arm_diff,own_arm,fb_arm,as_gap,spin_nz_pct,cue_val,big,cue_pct,contrib_pp,aligned,share,sim_pct,arm_gap,slot,fb_slot
502043,offspeed,CH,"Gibson, Kyle",257,4.66915853012146,33.0739299610895,2.63948606498811,42.8218459979095,45.1943134666164,-0.0754007782101167,100,2.63948606498811,TRUE,0.652406417112299,0.298903612589285,TRUE,0.0640165911397121,65,2.6,43,45
643377,offspeed,CH,"Jax, Griffin",450,3.54536706786417,43.7777777777778,2.66581156713969,45.2938966346154,43.5567320275914,-0.0617533333333335,100,2.66581156713969,TRUE,0.647058823529412,0.289756361640595,TRUE,0.0817281697759867,65,2.7,45,44
657053,offspeed,FS,"Toussaint, Touki",203,1.35189881779845,28.0788177339901,2.52058854682501,32.7998250540951,30.7908100013577,0.00467980295566498,100,2.52058854682501,TRUE,0.642857142857143,0.282569235895196,TRUE,0.209016556694202,64,2.5,33,31
672456,offspeed,CH,"Montero, Keider",275,4.86942333971067,27.2727272727273,2.6889581909549,39.8374382022472,41.6385565729653,0.0177818181818183,100,2.6889581909549,TRUE,0.641711229946524,0.280609110691905,TRUE,0.0576267642214445,64,2.7,40,42
669358,offspeed,CH,"Baz, Shane",275,0.667589901517483,24.3636363636364,2.69903801390792,35.5556510067114,36.081547844986,0.016309090909091,100,2.69903801390792,TRUE,0.636363636363636,0.271461859743215,TRUE,0.406629667594075,64,2.7,36,36
607625,offspeed,CH,"Lugo, Seth",326,-2.00767715429953,21.1656441717791,2.70590092215885,30.3820689655173,31.6242427277142,0.00130674846625776,100,2.70590092215885,TRUE,0.631016042780749,0.262314608794526,FALSE,,63,2.7,30,32
621389,offspeed,CH,"Blach, Ty",256,-4.59250954229356,20.3125,2.71411323515417,19.9556728603604,20.9927002640845,0.0017109375,100,2.71411323515417,TRUE,0.625668449197861,0.253167357845836,FALSE,,63,2.7,20,21
663485,offspeed,FS,"Sands, Cole",265,-7.79913520885467,21.5094339622642,2.53579184999231,24.4447257383966,25.4797602853638,-0.0241245283018867,100,2.53579184999231,TRUE,0.625,0.25202395147725,FALSE,,62,2.5,24,25
641927,offspeed,CH,"Ober, Bailey",1256,5.00754734922844,31.687898089172,2.72354612111323,31.4169461812657,32.4338201987032,0.0883805732484077,100,2.72354612111323,TRUE,0.620320855614973,0.244020106897146,TRUE,0.0487304642131331,62,2.7,31,32
592791,offspeed,CH,"Taillon, Jameson",306,4.13868795476706,27.4509803921569,2.72882301716789,46.5982269503546,44.9655781051796,-0.0322973856209151,100,2.72882301716789,TRUE,0.614973262032086,0.234872855948456,TRUE,0.0567505592389306,61,2.7,47,45
669920,offspeed,CH,"Alexander, Jason",269,8.49717507034106,36.8029739776952,2.73064463209946,23.1617456841677,21.2158200745299,0.0539925650557621,100,2.73064463209946,TRUE,0.609625668449198,0.225725604999766,TRUE,0.0265647821930432,61,2.7,23,21
543135,offspeed,FS,"Eovaldi, Nathan",1245,2.88416307297356,33.8152610441767,2.56452945750269,34.2696770514009,32.5817029209767,-0.101655421686747,100,2.56452945750269,TRUE,0.607142857142857,0.221478667059303,TRUE,0.0767913122301229,61,2.6,34,33
