pitcher,season,n_ch,est_ch,true_ch,n_ff,est_ff,true_ff,player_name,name,pass,truly,nsw,axis_gap,arm,velo_sep,resid,gap_band
676467,2025,114,0.901372919367359,0.912,595,0.987347036507063,0.986,"Gordon, Colton",Colton Gordon,TRUE,TRUE,61,6.89791343407152,32.4131147540984,7.32989392478302,4.41330807302181,0-10
666200,2026,412,0.905643333814322,0.884,526,0.952863679739486,0.925,"Luzardo, Jesús",Jesús Luzardo,TRUE,TRUE,224,6.97783859177646,31.2017857142857,10.8297664312873,6.14723181591833,0-10
640455,2024,337,0.933365714879509,0.931,921,0.944143868077125,0.977,"Manaea, Sean",Sean Manaea,TRUE,TRUE,176,7.58792890250926,23.5840909090909,6.92792907523512,2.12793752670346,0-10
672282,2024,220,0.980937173056136,0.927,659,1.0200533903072,0.99,"Detmers, Reid",Reid Detmers,TRUE,TRUE,116,7.65783404908727,45.9068965517241,9.11730407523511,-0.253152934299301,0-10
664028,2023,68,0.935742465292548,0.909,87,0.943752449741129,0.978,"Kennedy, Brett",Brett Kennedy,TRUE,TRUE,48,7.67788928645537,38.0270833333333,9.49030388471177,-5.32354837648818,0-10
645261,2023,279,0.934628600922337,0.903,205,0.967938846597682,0.936,"Alcantara, Sandy",Sandy Alcantara,TRUE,TRUE,429,7.69251179894135,34.4955710955711,6.78105279600125,-4.9859385769998,0-10
645261,2025,672,0.939605788680272,0.94,495,0.986404886104379,0.97,"Alcantara, Sandy",Sandy Alcantara,TRUE,TRUE,369,7.80111382168245,32.4409214092141,7.3730179847253,-5.92868119682212,0-10
666157,2026,259,0.938924567775776,0.968,291,0.941853383568293,0.985,"Lodolo, Nick",Nick Lodolo,TRUE,TRUE,134,7.81946212625915,14.5783582089552,5.8514516458802,-5.75212779860894,0-10
676962,2025,80,0.918827905337629,0.92,978,0.96477634309436,0.955,"Brown, Ben",Ben Brown,TRUE,TRUE,31,8.02713624713895,42.1645161290323,5.44786265584801,6.41414556211088,0-10
571510,2025,650,0.945875393793052,0.904,1294,0.913804577813584,0.946,"Boyd, Matthew",Matthew Boyd,TRUE,TRUE,362,8.08478957292861,29.3566298342541,14.5485679762952,1.83181261653653,0-10
677944,2024,157,0.919425835168103,0.941,708,0.978391817515942,0.992,"Cecconi, Slade",Slade Cecconi,TRUE,TRUE,78,8.30528221946056,32.075641025641,12.6072685788787,-1.99469789160899,0-10
543351,2024,58,0.928958522830398,0.811,116,0.940806655358058,0.95,"Jackson, Jay",Jay Jackson,TRUE,FALSE,22,8.72149353525943,32.1181818181818,6.03503134796239,-1.33774271853497,0-10
666157,2025,538,0.938982013151597,0.96,689,0.948049045359443,0.982,"Lodolo, Nick",Nick Lodolo,TRUE,TRUE,302,8.78866062116157,15.4913907284768,6.03166312632763,1.80726345967815,0-10
676440,2026,283,0.987807965196006,0.929,439,0.907129358958239,0.9,"Bibee, Tanner",Tanner Bibee,TRUE,TRUE,129,8.85342542019532,59.4937984496124,12.7667002171955,-1.72769204034533,0-10
660906,2023,58,0.951265931601233,0.944,82,0.948623529131521,0.983,"Pérez, Francisco",Francisco Pérez,TRUE,TRUE,31,9.41578853767108,40.5903225806452,6.08324154209284,-5.33592867877791,0-10
674370,2024,160,0.989306431276783,0.941,422,0.9318464940946,0.904,"Bido, Osvaldo",Osvaldo Bido,TRUE,TRUE,70,9.42021363319544,32.9985714285714,6.06811780636425,7.60850760301776,0-10
625643,2024,82,0.912481015631569,0.971,1164,0.974408825184164,0.981,"López, Reynaldo",Reynaldo López,TRUE,TRUE,43,9.47607414923207,42.0116279069767,9.7469351874051,-1.42414197403661,0-10
660853,2024,86,0.984570628722645,0.981,556,0.921962766561932,0.927,"De Los Santos, Enyel",Enyel De Los Santos,TRUE,TRUE,39,9.61160998471385,27.8307692307692,7.9015034126545,0.467408744325517,0-10
671096,2023,202,0.926189022199318,0.929,605,0.924378010346965,0.944,"Abbott, Andrew",Andrew Abbott,TRUE,TRUE,137,9.78870981999901,44.9642335766423,6.23514077163712,10.7354452162086,0-10
691587,2023,53,0.94625909543645,0.951,305,0.927918613354148,0.948,"Pérez, Eury",Eury Pérez,TRUE,TRUE,52,9.90639002192917,29.0769230769231,7.56345326122945,4.13152537599502,0-10
543037,2024,62,0.969311186958903,0.977,697,0.934675910248081,0.914,"Cole, Gerrit",Gerrit Cole,TRUE,TRUE,25,10.0933916367057,43.884,7.51779053084649,1.86722747505041,10-20
645261,2026,468,0.912586654924727,0.886,439,0.972794467535416,0.951,"Alcantara, Sandy",Sandy Alcantara,TRUE,TRUE,272,10.2966514139706,33.2125,6.41384580597615,-3.91671198222772,10-20
623211,2025,385,0.901725149155978,0.831,121,0.956001084973595,0.933,"Brazobán, Huascar",Huascar Brazobán,TRUE,FALSE,202,10.3709284901611,36.9509900990099,5.7903690369037,-1.23759241437631,10-20
666745,2024,216,0.974150629379774,0.98,157,0.955157118587827,0.948,"Brito, Jhony",Jhony Brito,TRUE,TRUE,120,10.4515191059148,55.7558333333333,6.55526539278132,2.91827314097189,10-20
666157,2024,306,0.936834962172666,0.947,516,0.96286418537934,0.984,"Lodolo, Nick",Nick Lodolo,TRUE,TRUE,170,10.4808262341348,18.8935294117647,6.01274965800274,-3.64063748518724,10-20
660896,2024,91,0.924967789647869,0.953,407,0.958284040887279,0.961,"Alcala, Jorge",Jorge Alcala,TRUE,TRUE,36,10.5232467870093,44.8416666666667,6.85792483660131,-14.678536054372,10-20
694363,2024,379,0.934065175646834,0.99,483,0.92950699889327,0.95,"Shuster, Jared",Jared Shuster,TRUE,TRUE,170,10.595719752854,42.2029411764706,8.52398733406407,-3.32430759171616,10-20
665795,2023,192,1.05,0.957,174,0.947982923529722,0.922,"Cabrera, Edward",Edward Cabrera,TRUE,TRUE,300,10.8410424915847,46.087,3.18135496957404,1.24309045333831,10-20
665795,2024,566,1.024112102347,0.94,480,0.938494016816205,0.932,"Cabrera, Edward",Edward Cabrera,TRUE,TRUE,291,11.0539839080618,43.3,2.95302405498283,2.63700100864454,10-20
527048,2026,431,0.994904142212308,0.995,75,0.958256819121391,0.967,"Pérez, Martín",Martín Pérez,TRUE,TRUE,231,11.4215857425854,42.9701298701299,7.8827012987013,6.13937033097497,10-20
668984,2026,77,0.936087888964499,0.88,287,0.951219871562856,0.953,"Legumina, Casey",Casey Legumina,TRUE,TRUE,37,11.4242828698989,13.2567567567568,6.14502307185234,-10.7674892720174,10-20
672282,2023,106,0.908875286778157,0.932,416,0.9942560467496,0.993,"Detmers, Reid",Reid Detmers,TRUE,TRUE,69,11.6872996451162,39.7130434782609,9.50498462889767,-4.32123358125879,10-20
693433,2025,191,0.929793618451092,0.877,1263,0.913742655828109,0.906,"Woo, Bryan",Bryan Woo,TRUE,TRUE,88,11.9097019513105,24.0227272727273,6.08463254035684,-1.08946381598717,10-20
700249,2024,151,0.941617187643415,0.942,566,0.928558520271698,0.92,"Povich, Cade",Cade Povich,TRUE,TRUE,81,11.9660135561902,37.4271604938272,6.51883479474764,4.09872214175361,10-20
571510,2026,289,0.952287051780244,0.915,478,0.907758999870946,0.934,"Boyd, Matthew",Matthew Boyd,TRUE,TRUE,166,11.9842993184076,25.0144578313253,13.9209195864879,-5.39969432220052,10-20
605488,2024,178,0.958484509760582,0.896,240,0.964219701666057,0.965,"Springs, Jeffrey",Jeffrey Springs,TRUE,TRUE,103,11.9890013467,45.2504854368932,10.337645631068,7.5581388625057,10-20
606160,2024,159,0.940634650769952,0.938,310,0.920878471266073,0.908,"Montero, Rafael",Rafael Montero,TRUE,TRUE,72,11.9941981157076,30.6791666666667,4.41403225806452,-12.6947409654059,10-20
688138,2025,163,0.939894464757277,0.916,147,0.930086073204296,0.943,"Evans, Logan",Logan Evans,TRUE,TRUE,72,12.2129522700392,26.9625,5.52752267573697,-2.84117225575282,10-20
666745,2023,153,0.943291973569769,0.985,89,0.916512041924258,0.918,"Brito, Jhony",Jhony Brito,TRUE,TRUE,252,12.220666895904,51.4361111111111,6.94998837749884,-2.33506432678298,10-20
665795,2025,580,1.0323367725058,0.929,292,0.926840512943982,0.919,"Cabrera, Edward",Edward Cabrera,TRUE,TRUE,293,12.3703819261506,36.8235494880546,2.51489433821123,-3.11613740626165,10-20
527048,2024,501,0.966996452773819,0.993,102,0.959912283758215,0.969,"Pérez, Martín",Martín Pérez,TRUE,TRUE,270,12.3852107460566,46.3833333333333,8.13326797385621,2.90574792958734,10-20
