pitcher,pitch_type,player_name,n,resid_pp,whiff_pct,axis_diff,as_gap,active_spin,fb_active,spin_sim,axis_sim,act_sim,cue,cue_pct
641793,FS,"Littell, Zack",984,-2.1701557741596,25.4065040650407,34.4425230028125,-0.201904471544716,0.753435975609756,0.955340447154471,0.0126216135830505,-34.4425230028125,-0.201904471544716,0.0126216135830505,0.125
655889,SL,"Rodríguez, Manuel",244,-2.21296650558177,28.6885245901639,106.875597078263,-0.50608606557377,0.294967213114754,0.801053278688525,2.7243319234627e-13,-106.875597078263,-0.50608606557377,-106.875597078263,0.458167330677291
592836,FS,"Walker, Taijuan",631,-2.24962111936016,17.1156893819334,10.8328297184605,-0.181324881141046,0.793453248811411,0.974778129952456,0.0440972362368787,-10.8328297184605,-0.181324881141046,0.0440972362368787,0.196428571428571
676083,SL,"Junk, Janson",394,-2.25750882150213,18.7817258883249,54.1330426928383,-0.48343654822335,0.40741116751269,0.890847715736041,8.76196023210087e-10,-54.1330426928383,-0.48343654822335,-54.1330426928383,0.824701195219124
680570,CH,"Rodriguez, Grayson",466,-2.30449240523913,29.8283261802575,36.3831734960071,-0.121613733905579,0.865534334763949,0.987148068669528,0.127853330893731,-36.3831734960071,-0.121613733905579,0.127853330893731,0.13903743315508
694973,FS,"Skenes, Paul",668,-2.31725353243819,24.1017964071856,13.1818734129428,-0.061938622754491,0.912748502994012,0.974687125748503,0.620139265400112,-13.1818734129428,-0.061938622754491,0.620139265400112,0.803571428571429
694297,ST,"Pfaadt, Brandon",890,-2.32250184907228,31.9101123595506,136.680190027231,-0.355323595505618,0.389344943820225,0.744668539325843,6.70648115884146e-09,-136.680190027231,-0.355323595505618,-136.680190027231,0.837037037037037
686752,CH,"Pepiot, Ryan",721,-2.34963112701384,27.7392510402219,47.1034481235722,-0.163492371705964,0.823574202496533,0.987066574202496,0.0421782359117052,-47.1034481235722,-0.163492371705964,0.0421782359117052,0.0427807486631016
694973,SL,"Skenes, Paul",200,-2.36963496894801,33,131.760125945866,-0.70147,0.27187,0.97334,7.97418074110894e-25,-131.760125945866,-0.70147,-131.760125945866,0.302788844621514
669461,CH,"Liberatore, Matthew",296,-2.37125103983581,18.2432432432432,20.5734282412878,0.00145945945945949,0.959550675675676,0.958091216216216,0.780390330389803,-20.5734282412878,-0.0132364864864865,0.780390330389803,0.86096256684492
681293,ST,"Arrighetti, Spencer",238,-2.38609477182386,32.7731092436975,153.760699331108,-0.373411764705882,0.56390756302521,0.937319327731092,1.75453596042678e-11,-153.760699331108,-0.373411764705882,-153.760699331108,0.503703703703704
675627,SL,"Grove, Michael",291,-2.43584411440886,34.020618556701,116.624233456645,-0.594773195876289,0.308274914089347,0.903048109965636,1.19680993969039e-17,-116.624233456645,-0.594773195876289,-116.624233456645,0.402390438247012
592426,SL,"Jackson, Luke",558,-2.4448094205378,27.2401433691756,170.781376095135,-0.560132616487455,0.385241935483871,0.945374551971326,3.78858999223229e-18,-170.781376095135,-0.560132616487455,-170.781376095135,0.0199203187250996
681517,CU,"Leahy, Kyle",241,-2.45362546454285,28.2157676348548,162.281218175033,-0.0388091286307054,0.819655601659751,0.858464730290456,2.37180836781618e-06,-162.281218175033,-0.0388091286307054,-162.281218175033,0.789473684210526
685126,CH,"Eisert, Brandon",221,-2.4801669831822,37.5565610859729,14.258888921465,-0.0686470588235295,0.873941176470588,0.942588235294118,0.555435771965237,-14.258888921465,-0.0686470588235295,0.555435771965237,0.524064171122995
