player_name,pitch_type,n,res_loc,spin_sim,grp2
"Winder, Josh",CH,64,0.0245036227889218,0.698381097203354,All other offspeed
"Peralta, Freddy",CH,856,0.0244409084652215,0.475505926225922,All other offspeed
"Ashby, Aaron",CH,180,0.0241934337168731,0.745966734368527,All other offspeed
"Olson, Reese",CH,424,0.0237000552550323,0.0816724617857209,All other offspeed
"Toussaint, Touki",FS,203,0.0236153962650632,0.927619894305952,All other offspeed
"King, Michael",CH,928,0.0231695379421964,0.102607575310897,All other offspeed
"Sale, Chris",CH,434,0.0229945984517374,0.708697198921876,All other offspeed
"Canning, Griffin",CH,821,0.0226120011670783,0.453472684312082,All other offspeed
"Avila, Luinder",CH,54,0.021853341636738,0.155772277230276,All other offspeed
"Bradley, Taj",FS,704,0.0217383116978681,0.247664917391668,All other offspeed
"Wentz, Joey",CH,180,0.0216672347952767,0.763011409886017,All other offspeed
"Abel, Mick",CH,58,0.0216401593822856,0.0442433853001806,All other offspeed
"Flexen, Chris",CH,275,0.0215987769674092,0.465727323544058,All other offspeed
"Williams, Devin",CH,697,0.0215410676820115,0.164930851786047,All other offspeed
"Latz, Jacob",CH,350,0.0214719298301797,0.723525219895965,All other offspeed
"Berríos, José",CH,603,0.0210630761299373,0.488004497610647,All other offspeed
"Yamamoto, Yoshinobu",FS,808,0.0208878844260249,0.131886797898318,All other offspeed
"Birdsong, Hayden",CH,187,0.0208059308244445,0.257315320444982,All other offspeed
"Lynch IV, Daniel",CH,251,0.0206161571627092,0.74482818556431,All other offspeed
"Skubal, Tarik",CH,1330,0.020391517200834,0.154262073898039,All other offspeed
"Moll, Sam",CH,89,0.0197280121900907,0.0929669217119424,All other offspeed
"Englert, Mason",CH,268,0.0196282104286228,0.000206982879359492,All other offspeed
"Suárez, Andrew",CH,42,0.0196227245072749,0.819444928235419,All other offspeed
"Springs, Jeffrey",CH,732,0.0192419339809475,0.741519763288309,All other offspeed
"Luzardo, Jesús",CH,760,0.018832632280041,0.805649699228875,All other offspeed
"Orze, Eric",FS,331,0.0187849107347117,0.00218125941599812,All other offspeed
"McFarland, T.J.",CH,69,0.0182299191958323,0.778929120692361,All other offspeed
"McClanahan, Shane",CH,271,0.0181553794776968,0.608572922553783,All other offspeed
"Erceg, Lucas",CH,277,0.01787964175244,0.821621060159242,All other offspeed
"Javier, Cristian",CH,213,0.0172467721204926,0.0989972163766954,All other offspeed
"Lange, Alex",CH,113,0.0170534350462087,0.698233753809593,All other offspeed
"Kelly, Kevin",CH,93,0.0169790642398351,0.57534404842056,All other offspeed
"Ogasawara, Shinnosuke",CH,77,0.0167168827541443,0.692469296746606,All other offspeed
"Gillispie, Connor",CH,49,0.0166462448252036,0.348869151819512,All other offspeed
"Garrett, Reed",FS,240,0.0166326949523562,0.387172904070607,All other offspeed
"Hurter, Brant",CH,107,0.0163761332302705,0.0589128108628783,All other offspeed
"Smith, Shane",CH,211,0.0160896409406896,0.597591254060858,All other offspeed
"Reid-Foley, Sean",CH,53,0.0159935210904702,0.0978221850393932,All other offspeed
"Soriano, José",FS,398,0.0154759951221247,0.828770978262548,All other offspeed
"Pagán, Emilio",FS,208,0.0151033525478773,0.29400635140052,All other offspeed
"Cano, Yennier",FS,108,0.0150403387649668,0.640666470828871,All other offspeed
"Scott, Tayler",FS,207,0.0147415466722766,0.0426126099051098,All other offspeed
"Abbott, Andrew",CH,706,0.0147384526509834,0.849013467628685,All other offspeed
"Herget, Jimmy",CH,56,0.0142361957424352,0.611376221055587,All other offspeed
"Garcia, Robert",CH,377,0.014222948379723,0.843411218912438,All other offspeed
"Darvish, Yu",FS,113,0.0141578285734067,6.12564357712033e-05,All other offspeed
"Hoffman, Jeff",FS,358,0.0141401759321108,0.659112036052433,All other offspeed
"Bello, Brayan",CH,857,0.0141224585186694,0.139818800571183,All other offspeed
"Rodón, Carlos",CH,553,0.0136708072485284,0.0325214145625908,All other offspeed
"Minter, A.J.",CH,95,0.0135561296489993,0.403804339576909,All other offspeed
