pitcher,grp,pitch_type,player_name,n,resid_pp,whiff_pct,arm_diff,own_arm,fb_arm,as_gap,spin_nz_pct,cue_val,big,cue_pct,contrib_pp,aligned,share,sim_pct,nz_rate,axis_gap
543037,breaking,KC,"Cole, Gerrit",249,3.70143358280482,25.3012048192771,3.15843364082224,43.5481927710844,41.1673398227378,-0.13714859437751,100,100,TRUE,0.766666666666667,0.28428683105835,TRUE,0.0768045203834043,77,100,-0.14
596295,breaking,KC,"Gomber, Austin",459,-0.585186722380489,19.6078431372549,3.21508734816834,55.3473983232869,52.7969643878354,-0.201058823529412,100,100,TRUE,0.766666666666667,0.28428683105835,FALSE,,77,100,-0.2
605400,breaking,KC,"Nola, Aaron",1348,-5.21265432373005,36.2017804154303,2.70003112023477,22.1429701013965,19.8828691879101,-0.129089020771513,100,100,TRUE,0.766666666666667,0.28428683105835,FALSE,,77,100,-0.13
621111,breaking,KC,"Buehler, Walker",308,-1.7565123346548,24.3506493506494,7.09340448219091,50.5131899350649,43.4506024878677,0.00831818181818177,100,100,TRUE,0.766666666666667,0.28428683105835,FALSE,,77,100,0.01
656302,breaking,KC,"Cease, Dylan",272,-0.550376879672403,28.3088235294118,2.818756773017,53.5360868566177,54.461007464639,-0.122481617647059,100,100,TRUE,0.766666666666667,0.28428683105835,FALSE,,77,100,-0.12
656427,breaking,KC,"Flaherty, Jack",817,-3.97718446563293,39.4124847001224,4.50626737839421,25.9492191629858,29.0475403059072,-0.0497649938800494,100,100,TRUE,0.766666666666667,0.28428683105835,FALSE,,77,100,-0.05
657376,breaking,KC,"Schmidt, Clarke",275,-4.22036670393424,30.5454545454545,7.38601524483134,41.9454545454545,34.5619504451261,0.126232727272728,100,100,TRUE,0.766666666666667,0.28428683105835,FALSE,,77,100,0.13
663893,breaking,KC,"Little, Brendon",369,-11.1581524688276,50.4065040650407,12.5848425276926,41.2486880466472,28.6638455189546,0.0364959349593496,100,100,TRUE,0.766666666666667,0.28428683105835,FALSE,,77,100,0.04
668678,breaking,KC,"Gallen, Zac",967,-4.82002225235626,33.1954498448811,3.67687942799956,41.6931278792393,44.3327233470366,-0.173499482936918,100,100,TRUE,0.766666666666667,0.28428683105835,FALSE,,77,100,-0.17
669467,breaking,KC,"Pallante, Andre",333,-7.07989057281683,33.9339339339339,3.92918669788268,61.7548192771085,57.9711314403819,0.0584474474474474,100,100,TRUE,0.766666666666667,0.28428683105835,FALSE,,77,100,0.06
669923,breaking,KC,"Kirby, George",355,-2.08321331036514,26.1971830985916,1.90849134589696,35.0415532608133,33.7112201760815,-0.0870028169014085,100,100,TRUE,0.766666666666667,0.28428683105835,FALSE,,77,100,-0.09
676917,breaking,KC,"Cavalli, Cade",331,6.35672271307379,38.368580060423,3.14954914587813,41.0879943387496,38.7976046724257,-0.0200634441087614,100,100,TRUE,0.766666666666667,0.28428683105835,TRUE,0.0447222324915417,77,100,-0.02
680732,breaking,KC,"Burke, Sean",390,1.76897953074542,24.8717948717949,2.09266704487356,43.5306653469185,42.2299822021641,-0.0531230769230769,100,100,TRUE,0.766666666666667,0.28428683105835,TRUE,0.160706682082723,77,100,-0.05
686613,breaking,KC,"Brown, Hunter",535,-2.07942208468647,32.8971962616822,3.3682276721744,57.7174781998234,56.95018955182,-0.128308411214953,100,100,TRUE,0.766666666666667,0.28428683105835,FALSE,,77,100,-0.13
519151,breaking,CU,"Pressly, Ryan",238,-1.40266285899907,30.672268907563,2.80812159351747,57.783955558508,57.1416712647792,-0.0341596638655462,100,100,TRUE,0.763157894736842,0.280396013252526,FALSE,,76,100,-0.03
543135,breaking,CU,"Eovaldi, Nathan",523,2.99707703677439,39.3881453154876,5.24651715514387,37.9985365911043,32.8157559284058,-0.147994263862333,100,100,TRUE,0.763157894736842,0.280396013252526,TRUE,0.093556491812537,76,100,-0.15
571945,breaking,CU,"Mikolas, Miles",436,6.2434431737261,20.4128440366972,7.64420268083279,49.6509174311927,42.2823565867703,-0.092447247706422,100,100,TRUE,0.763157894736842,0.280396013252526,TRUE,0.0449104773520642,76,100,-0.09
573204,breaking,CU,"Thielbar, Caleb",248,5.36433556461322,32.6612903225806,3.9418287304293,58.2760335931867,54.4146038084921,-0.0842177419354839,100,100,TRUE,0.763157894736842,0.280396013252526,TRUE,0.0522704088652111,76,100,-0.08
