pitcher,season,player_name,nsw,axis,arm,velo_sep,w_res,w_res_noarm,np,whiff,swing,velo,spin,rv100,as_ch,as_fb,name,as_gap,exp_whiff
668674,2023,"Erceg, Lucas",98,16.4557913561526,44.1510204081633,7.55714285714286,4.13469356994921,4.74580544445159,233,38.3838383838384,42.4892703862661,90.2690987124464,1921.93103448276,0.592703862660944,0.942,0.97,Lucas Erceg,-0.028,34.2491448138892
663567,2023,"Lambert, Peter",150,21.287894654168,48.9486666666667,6.92292879256966,4.12650091078599,5.94106180941849,290,32.4503311258278,52.0689655172414,86.2468965517241,1506.68881118881,-2.03965517241379,0.985,0.974,Peter Lambert,0.011,28.3238302150418
623167,2023,"Flexen, Chris",125,25.5090671406067,65.776,10.9115838664812,4.11521106149435,4.31937094717083,281,39.6825396825397,44.8398576512456,81.0092526690391,1300.40714285714,0.0466192170818511,0.978,0.902,Chris Flexen,0.076,35.5673286210453
676282,2026,"Cantillo, Joey",251,20.1539318277848,50.2900398406375,11.4165460252015,3.97800689424128,4.655917730707,512,41.0358565737052,49.0234375,80.7216796875,1446.439453125,-0.282031249999999,0.992,0.982,Joey Cantillo,0.01,37.0578496794639
543548,2020,"Milone, Tommy",131,23.5825989942593,44.6007633587786,7.04893331985239,3.92852661320454,4.53608537861462,272,37.2670807453416,59.1911764705882,78.9419117647059,1677.24719101124,-2.37132352941177,0.979,0.974,Tommy Milone,0.005,33.3385541321371
666120,2020,"Anderson, Ian",63,18.0462468534096,63.8793650793651,6.62455579246624,3.62196162628803,5.91909041908192,176,39.7727272727273,50,87.4409090909091,1747.56896551724,2.21534090909091,0.982,0.996,Ian Anderson,-0.014,36.1507656464392
670329,2025,"Garcia, Rico",67,23.1540378523469,46.6134328358209,9.03273244168767,3.56563299220028,5.53769379662342,129,35.8208955223881,51.937984496124,86.4682170542636,2290.25581395349,0.796899224806202,0.985,0.993,Rico Garcia,-0.008,32.2552625301878
656222,2025,"Beeks, Jalen",165,19.5830181122081,46.5709090909091,5.44339015151515,3.37656748149091,3.45706675168719,345,35.1515151515152,47.8260869565218,88.8269565217391,2133.68985507246,3.04,0.918,0.939,Jalen Beeks,-0.021,31.7749476700242
656641,2025,"Latz, Jacob",167,25.5219581594729,47.1520958083832,9.50071419205385,3.36616159149637,5.07859153156485,324,41.0404624277457,53.3950617283951,84.7055555555556,1981.74203821656,-1.29969135802469,0.97,0.98,Jacob Latz,-0.01,37.6743008362493
664353,2023,"Urquidy, José",142,33.246151815934,50.4816901408451,6.98778893456433,3.25391005882221,4.84865166052416,237,35.2112676056338,59.915611814346,86.0957805907173,2099.71729957806,2.4042194092827,0.985,0.988,José Urquidy,-0.003,31.9573575468116
542881,2023,"Anderson, Tyler",409,21.1492563657819,54.620293398533,9.92220048899756,3.20553883939321,3.21116845086634,823,39.7560975609756,49.8177399756987,80.0037667071689,1861.82460414129,0.345321992709598,0.986,0.971,Tyler Anderson,0.015,36.5505587215824
502042,2022,"Archer, Chris",138,16.7988266268717,48.8275362318841,5.95986325019309,2.93527788551804,3.48506076532427,263,35.5072463768116,52.4714828897339,86.9908745247148,1704.51330798479,0.365779467680608,0.96,0.965,Chris Archer,-0.005,32.5719684912936
