PitcherId,season,nsw,axis,velo_sep,rz,rx,w,w_tj,name,slot,eff_ch,n_ch,eff_ff,eff_gap,matched,eff_floor,eff_close,hi_slot,core,corex,bb
695656,2024,110,10.8288550276923,11.978757986014,5.67273254545455,1.50900818181818,3.95023688933513,2.1320950819315,"Futrell, Devin",32.8065221267168,0.937575327008017,229,0.986705391228302,-0.0491300642202858,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
695661,2024,40,35.9689395514777,10.3463990135468,5.78549,1.6164085,-3.4077796092398,-4.81685803843578,"McGuire, Logan",33.8831120094656,0.940824398339679,101,0.997771453827121,-0.0569470554874418,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
695672,2024,65,39.899066904945,7.00617032417588,5.89111661538462,1.44221938461538,4.51920030216051,-0.635261150161368,"Higgins, Ryan",39.553008216706,0.884271803428301,119,0.985258678398941,-0.100986874970641,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
695672,2025,70,32.1412171885714,7.13076820209061,6.04114228571429,1.31152057142857,12.4358112721035,11.0954695296349,"Higgins, Ryan",45.6397830263136,0.929769847323014,136,0.997964497642073,-0.0681946503190595,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
695693,2024,136,49.1258647551332,8.7782401706437,5.66424257352941,2.12165779411765,-1.94596018148799,-7.40578038380192,"McCracken, J.D.",24.440657234348,0.931324554575854,322,0.964251250568891,-0.0329266959930372,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
695704,2025,85,54.4976570071136,9.72598177213217,6.05269235294118,1.83202282352941,12.5726829112582,7.43078762758334,"Ligon, Karson",36.4406764635565,0.919629642404906,187,0.944898513805773,-0.025268871400866,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
695721,2024,65,41.833719404354,8.81813762264146,5.66387323076923,1.099186,-5.69061909635314,-1.29228591411761,"Ziehl, Gage",41.2474358902354,1,157,0.87485999332502,0.12514000667498,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
695741,2024,111,45.2632988871728,7.87650104653524,6.01147657657658,0.243124774774775,7.73661470943566,5.9055258367911,"Wentworth, Jackson",79.4975942503386,0.845741647594156,219,0.890618726723967,-0.0448770791298105,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
695743,2024,65,39.3571697807692,7.41225799300707,5.56517384615385,2.19709215384615,4.93103072308183,6.10298732468406,"Liggett, Carson",21.493593594127,0.96785157024535,137,0.917829771016278,0.0500217992290721,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
695766,2024,82,47.412132162104,8.53793284819812,5.97587987804878,1.84650829268293,7.52161814624996,6.38695831739599,"Molina, Mason",34.643268561638,0.921046196439756,181,0.98094633491242,-0.0599001384726636,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
696488,2025,43,31.1804393748673,8.21564560995522,5.82061093023256,1.39499093023256,13.0941066128465,14.9580799562641,"Parker, Caedmon",38.7752804593111,0.915698352718893,90,0.787575278152237,0.128123074566656,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
696492,2024,178,24.2901000054604,10.8305043148039,6.596715,2.01553,5.27287372393342,4.61249522097935,"Prager, Ryan",43.260460111817,0.918366433649952,293,0.989737042913579,-0.0713706092636276,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
696492,2025,196,17.9899035695442,9.95287257237084,6.51861204081633,1.69324173469388,-1.72878726999181,-1.94156487091023,"Prager, Ryan",47.0445441959774,0.914769955380969,326,0.993156271380954,-0.0783863159999855,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
699546,2024,41,27.4559235842352,7.37057994831203,5.58766487804878,2.5747543902439,-0.473437540806468,-1.51620976528124,"Hitt, James",19.0219969974588,0.916523508677592,90,0.879794889486169,0.0367286191914226,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
699718,2025,71,31.5061168045775,6.68021350352114,5.7016076056338,1.68017323943662,3.99392302078039,8.17116110466063,"Colon, Shadai",30.8005871941214,0.991145358598926,203,1,-0.00885464140107384,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
