pitcher,game_year,pitch_type,n,velo,hb,ivb,spin,sx,cx,sw,wh,name,hand,axis,whiff_rate,mv,fb_type,fb_axis,fb_velo,fb_hb,fb_ivb,fb_spin,fb_n,gap,velo_gap,mv_ratio,active_spin,wres,res_loc,plate_z,below,band
676263,2025,SL,544,88.0621323529412,-2.53147058823529,3.87044117647059,2357.94485294118,-0.154827573764244,-0.874809991244437,319,95,"Dreyer, Jack",L,190.03651805296,29.7805642633229,4.62478737236853,FF,202.171171600919,92.6843984962406,6.99766917293233,19.6606015037594,2396.58458646617,532,12.1346535479593,4.62226614329943,0.221612568575956,0.236,-0.784604720114634,3.06020999724761,2.12202065973738,23.2323232323232,same axis (<60°)
641793,2026,SL,495,88.0690909090909,-1.57430303030303,10.1549090909091,2120.60202020202,-0.271433560377754,-0.952656781039163,241,49,"Littell, Zack",R,195.903456610584,20.3319502074689,10.2762156787336,FF,209.060376539169,91.6618510158014,6.49381489841986,16.4169751693002,2020.76523702032,443,13.1569199285856,3.59276010671046,0.582068465558033,0.613,0.948947639340949,8.62654830922804,2.62643750828091,6.11353711790393,same axis (<60°)
656271,2025,SL,280,87.8946428571429,1.07614285714286,5.09185714285714,2218.13571428571,-0.42766800000177,-0.862180697626883,136,41,"Burke, Brock",L,206.382818088479,30.1470588235294,5.20433402197101,FF,220.075766002887,96.1162790697674,8.3846511627907,15.8056744186047,2259.03023255814,430,13.692947914408,8.22163621262459,0.290875801064566,0.451,-10.7890948188393,-1.69674709215347,2.30189997080026,9.30232558139535,same axis (<60°)
702056,2026,SL,374,87.6641711229947,3.39529411764706,5.17347593582888,2261.2513368984,-0.489360829351133,-0.859783124632267,190,74,"Yesavage, Trey",R,209.647136482235,38.9473684210526,6.18812373857611,FF,195.043533433638,94.3276203966006,4.22379603399433,19.4862322946176,2251.32294617564,706,14.6036030485961,6.66344927360591,0.310356673537258,0.459,2.97721638714087,0.773689083900658,1.86703149954338,35.3260869565217,same axis (<60°)
660853,2026,SL,243,86.3106995884774,-0.86962962962963,6.10172839506173,2138.74897119342,-0.54417698689675,-0.803254206099168,106,37,"De Los Santos, Enyel",R,214.116283936806,34.9056603773585,6.16338746955214,FF,229.144474325629,94.9988439306359,10.7784971098266,13.4528323699422,2243.04335260116,346,15.0281903888229,8.68814434215848,0.357542909717925,0.339,0.282833424158997,2.68056119227095,2.02205823778233,21.5686274509804,same axis (<60°)
660853,2025,SL,397,88.3491183879093,-1.34025188916877,6.34216624685139,2212.64987405542,-0.540342873850034,-0.813777546148811,193,70,"De Los Santos, Enyel",R,213.583895791496,36.2694300518135,6.48223324396164,FF,228.980425973608,96.1581481481482,10.6722222222222,12.9851111111111,2287.91111111111,540,15.3965301821121,7.80902976023883,0.385663175975979,0.335,2.23222408441688,2.95429826879809,2.01105110781153,24.7311827956989,same axis (<60°)
608337,2025,SL,606,85.9783828382838,-2.37485148514851,4.73386138613861,1966.40264026403,-0.177621437417176,-0.874480120230339,277,89,"Giolito, Lucas",R,191.481529683204,32.129963898917,5.29616495208432,FF,207.295799510345,93.258864628821,6.75898689956332,18.1334148471616,2231.18864628821,1145,15.8142698271406,7.28048179053712,0.273673598536529,0.297,3.16936775617897,4.1300530264836,2.18303861264563,21.6417910447761,same axis (<60°)
669276,2026,SL,403,82.8416873449132,-1.6654094292804,3.64645161290323,2153.90818858561,-0.0855658402862211,-0.635669451238885,232,103,"Lee, Dylan",L,187.666357415404,44.3965517241379,4.00876513809185,FF,203.728827162913,93.2656108597285,7.34606334841629,20.0389140271493,2377.51583710407,221,16.0624697475093,10.4239235148154,0.187825948394769,0.198,4.11401818415333,3.30900669050435,1.80846006296388,36.8421052631579,same axis (<60°)
665660,2025,SL,245,88.8975510204082,0.895836734693878,5.46318367346939,2215.82857142857,-0.843053048608966,-0.320352746307767,102,42,"Alvarado, Elvis",R,249.193649173209,41.1764705882353,5.53614480530355,FF,232.982260766119,98.6860215053763,14.1835483870968,13.6203225806452,2450.02150537634,372,16.2113884070892,9.78847048496819,0.281532208049774,0.269,0.358652491293927,-5.45260349081353,1.81864958772378,41.1764705882353,same axis (<60°)
641793,2025,SL,771,87.2547341115435,-1.48747081712062,7.23844357976654,2198.88326848249,-0.249342895480352,-0.957234922077203,407,79,"Littell, Zack",R,194.600105074949,19.4103194103194,7.38969788890242,FF,212.239828782819,92.1158989598811,7.28166419019316,16.0801783060921,2011.62258543834,673,17.6397237078691,4.86116484833768,0.418631212357588,0.503,-1.95274952175411,5.05447280299204,2.55080501626897,5.83554376657825,same axis (<60°)
607259,2025,SL,278,84.9061151079137,-0.735971223021583,1.75553956834532,2434.38848920863,-0.0507395282026104,-0.0534300854469043,129,45,"Martinez, Nick",R,223.520458101515,34.8837209302326,1.90356844298858,FF,205.211511151136,92.6295575221239,5.33224778761062,17.7750796460177,2317.44778761062,565,18.3089469503793,7.72344241421023,0.102575950237239,0.127,2.16728176265486,4.0346039950439,1.91946389148054,25.8333333333333,same axis (<60°)
656271,2026,SL,248,86.3516129032258,0.240483870967742,4.35048387096774,2261.20564516129,-0.291583082101597,-0.911732628580438,97,38,"Burke, Brock",L,197.734902702839,39.1752577319588,4.35712547486828,FF,216.402846201194,96.1752212389381,8.66017699115044,15.3978761061947,2323.78466076696,339,18.6679434983544,9.82360833571224,0.246636799455358,0.36,-1.26614341477947,-0.273007938732095,2.02031547011842,30.8510638297872,same axis (<60°)
669854,2025,SL,250,85.536,-2.90928,6.39408,2134.48,-0.102820901862825,-0.937388762656494,144,61,"Blanco, Ronel",R,186.25967175987,42.3611111111111,7.02482520528447,FF,205.593666871054,93.204593639576,6.70431095406361,18.8014134275618,2259.93286219081,283,19.3339951111843,7.66859363957597,0.35192777893927,0.348,13.1650680100153,14.4239588559831,2.15452242996256,20.5673758865248,same axis (<60°)
592332,2026,SL,213,84.1192488262911,-0.752112676056338,3.56169014084507,2263.78873239437,-0.15600949691174,-0.598391955738899,83,28,"Gausman, Kevin",R,194.612558538588,33.7349397590361,3.64023490133228,FF,217.484840026981,93.9240566037736,10.9723018867925,16.9143396226415,2272.35754716981,1060,22.8722814883933,9.80480777748249,0.180553726415711,0.187,-1.7618467332923,-3.04239234048289,1.91263367092535,29.2682926829268,same axis (<60°)
700669,2026,SL,230,88.8047826086956,-1.10869565217391,1.09721739130435,2381.09565217391,-0.045577003507445,-0.0312076631117485,114,32,"Graceffo, Gordon",R,235.599625562259,28.0701754385965,1.55983718795586,FF,212.552095614702,95.4696875,6.999,15.219,2045.025,320,23.0475299475568,6.66490489130436,0.0931177279428212,0.16,-5.85795894629846,-3.38436899610673,2.01721052895487,31.25,same axis (<60°)
686613,2025,SL,252,91.4281746031746,-3.68571428571429,5.69238095238095,2209.5873015873,-0.0358029615106048,-0.973810924293879,119,33,"Brown, Hunter",R,182.105578192756,27.7310924369748,6.78142246899188,FF,206.811802254441,96.5776576576577,6.75102702702703,17.3342702702703,2275.80630630631,1110,24.7062240616849,5.14948305448306,0.364543457700072,0.452,-1.18202646526547,-0.051717712925709,2.07359558018067,19.6428571428571,same axis (<60°)
571945,2025,SL,600,87.716,-2.5332,7.0474,2275.87166666667,-0.21264239419015,-0.889252612701499,294,51,"Mikolas, Miles",R,193.448312165585,17.3469387755102,7.48885498591073,FF,219.561767162647,92.8775,8.28183333333333,14.869,2216.93611111111,720,26.1134549970622,5.1615,0.440006629787158,0.38,-2.05662190951677,6.37826769062393,2.52179200789817,5.01792114695341,same axis (<60°)
664141,2026,SL,207,87.168115942029,-0.12463768115942,2.57739130434783,2572.73429951691,-0.642460572489199,-0.225645498299078,103,38,"Brubaker, JT",R,250.647665632599,36.8932038834951,2.58040316371155,SI,223.925442737253,93.640826873385,15.4508527131783,9.13953488372093,2218.90180878553,387,26.7222228953459,6.47271093135602,0.143742237132823,0.139,1.88819063528767,-3.57403312780073,1.80562634907145,40.5940594059406,same axis (<60°)
668820,2025,SL,213,89.9427230046948,-3.08788732394366,8.04507042253521,2182.67605633803,0.165587540578353,-0.953407795379094,114,17,"Kranick, Max",R,170.147172955101,14.9122807017544,8.61732013034927,FF,197.580259730757,95.5990909090909,3.37254545454545,17.1594545454545,2278.71818181818,220,27.4330867756559,5.65636790439606,0.49276359553656,0.564,-11.3364458827626,-0.137141535999044,2.54392906649411,4.62962962962963,same axis (<60°)
666200,2025,SL,214,86.4630841121495,0.432897196261682,1.36317757009346,2383.79439252336,-0.56425609180682,-0.106644338163928,110,37,"Luzardo, Jesús",L,259.297348700711,33.6363636363636,1.43026328699898,FF,231.467857013602,96.501171875,12.0849609375,14.0705859375,2239.865234375,1024,27.8294916871093,10.0380877628505,0.0771115271709169,0.18,-9.6564811104022,-15.6350066731705,1.72579560874681,41.3461538461539,same axis (<60°)
669373,2025,SL,397,90.1408060453401,-3.18015113350126,4.78730478589421,2236.21158690176,0.0549724980247803,-0.916579215108932,183,49,"Skubal, Tarik",L,176.567755812021,26.775956284153,5.74731662125508,FF,204.418511514011,97.6005624296963,3.54938132733408,16.9980202474691,2355.58492688414,889,27.8507557019893,7.45975638435623,0.330978118734511,0.326,-9.29955160852208,-1.09790559918992,2.31110016717929,8.33333333333333,same axis (<60°)
687396,2026,SL,280,84.2307142857143,-3.15428571428572,4.551,2055.93928571429,-0.0691285747646731,-0.942371433146769,139,66,"Headrick, Brent",L,184.195473087271,47.4820143884892,5.53724835702237,FF,212.323414094854,94.28671679198,8.02345864661654,17.556992481203,2337.75187969925,399,28.1279410075834,10.0560025062657,0.286852516900577,0.307,11.9487295160792,6.11781463235279,1.64232469410164,44.9275362318841,same axis (<60°)
571945,2026,SL,361,87.9753462603878,-2.79357340720222,6.24565096952909,2240.17451523546,-0.125151958906359,-0.924807582885534,173,30,"Mikolas, Miles",R,187.706879172369,17.3410404624277,6.84194478307206,FF,217.069172344876,93.2899509803922,7.57294117647059,15.3232352941176,2219.48039215686,408,29.3622931725071,5.31460472000435,0.400291061809678,0.391,-1.7323484955768,3.42105027132967,2.15616163791075,19.4117647058824,same axis (<60°)
677952,2025,SL,344,92.0241279069768,-1.95593023255814,5.59011627906977,2620.3226744186,-0.106514666938374,-0.942407524302246,204,66,"Ashcraft, Braxton",R,186.448432695481,32.3529411764706,5.92242037415074,FF,217.652220641503,96.9593272171254,7.30678899082569,15.7398165137615,2432.20795107034,327,31.2037879460211,4.93519931014863,0.341288382430115,0.387,2.07826980829595,5.10168578826207,2.13069256479286,18,same axis (<60°)
680573,2026,SL,240,86.1008333333333,-3.96,6.285,2200.75416666667,0.229299585276129,-0.94221697418509,103,20,"Woods Richardson, Simeon",R,166.322281626819,19.4174757281553,7.42851431983543,FF,197.840302739819,92.6436936936937,5.96756756756757,18.2989189189189,2205.12387387387,444,31.5180211129994,6.54286036036037,0.38594903350905,0.527,-4.02099485483221,-1.13368264520491,2.01956377067166,25.4901960784314,same axis (<60°)
837227,2026,SL,522,86.6892720306514,4.28505747126437,1.18528735632184,2274.75862068966,-0.94823693116393,-0.00737163225452738,274,109,"Imai, Tatsuya",R,269.554589265484,39.7810218978102,4.44596712190891,FF,236.66836280905,94.8713414634146,12.7058536585366,10.7526829268293,1999.44715447154,492,32.8862264564335,8.1820694327633,0.267103874770981,0.201,5.47533953661486,3.0382350373309,1.784665640519,43.1226765799257,same axis (<60°)
477132,2025,SL,693,85.6780663780664,-4.48329004329004,7.88935064935065,2483.51803751804,0.432389496010183,-0.87281260812265,383,104,"Kershaw, Clayton",L,153.646283579699,27.154046997389,9.07423513474679,FF,186.858459843875,89.0102214650767,-0.00940374787052811,17.5071209540034,2310.46337308348,587,33.2121762641758,3.33215508701028,0.51831673806042,0.484,5.57308558847508,7.62161324115288,1.91040299962927,32.2666666666667,same axis (<60°)
570632,2025,SL,243,87.5395061728395,0.654814814814815,7.9041975308642,2228.48148148148,-0.293419983975728,-0.928179038136161,108,27,"Ureña, José",R,197.543013191002,25,7.93127486906239,SI,230.878050856592,96.100289017341,16.0630057803468,9.82404624277457,2175.4161849711,346,33.3350376655902,8.56078284450153,0.421226084224181,0.501,-6.70578083206476,0.514596107836826,2.25156707074933,7.54716981132076,same axis (<60°)
686218,2025,SL,357,87.8072829131653,-3.49109243697479,3.85512605042017,2353.6862745098,0.0553425827079635,-0.914946919592549,197,85,"Sheehan, Emmet",R,176.538555741324,43.1472081218274,5.20093484559563,FF,210.201964989983,95.6271247739602,9.33482820976492,17.8585171790235,2443.67811934901,553,33.6634092486594,7.81984186079495,0.258097195064287,0.264,9.0203509575087,4.94806617134605,2.06756861939572,21.9895287958115,same axis (<60°)
