Pitcher,Season,Tier,Pitches,Arm,AxisGap,SpinEffGap,VeloSep,IVBKill,Whiff,Grounders,RV100
Jordan Montgomery,2022,Wide,604,42.7,13.6,0.126,10.7,6.1,5.5,2.6,0.23
Martín Pérez,2026,Wide,431,42.9,11.6,0.028,7.9,8.5,5.4,4.6,0.72
Jhony Brito,2024,Wide,216,55.9,11,0.032,6.5,7.5,5.4,3.4,0.88
Jordan Montgomery,2021,Wide,626,52,12.8,0.124,10,5,4.9,5.1,0.9
Martín Pérez,2025,Core,260,44.9,8.8,0.032,7.3,1.7,4.5,0.9,1.27
Ian Anderson,2021,Wide,679,63,14.2,-0.01,6.5,7.4,4.5,11.6,1.88
Kodi Whitley,2021,Wide,112,60.1,14.3,0.001,9,6.1,4.5,5.6,1.84
Cole Sulser,2020,Core,108,44.9,7.8,-0.021,8.1,10.8,4.4,-13.2,2.74
Kyle Hendricks,2023,Wide,867,46,13,-0.101,7.1,7,4.3,2.5,1.53
Martín Pérez,2024,Wide,501,46.3,12.3,0.024,8.1,8.3,3.9,-1.3,-0.9
Trevor May,2021,Core,170,52.2,8,0.057,9.6,7.1,3.7,4.1,-0.57
Jared Shuster,2023,Core,198,47.1,9.1,0.043,9.2,6.9,3.5,-8.1,-1.11
Framber Valdez,2023,Wide,456,49.8,14.9,0.013,5.2,6.5,3.4,3.2,0.35
Cole Sulser,2021,Wide,355,49,14.4,-0.149,9.3,14.4,3.4,-0.1,3.07
Tanner Bibee,2026,Core,283,60.1,8.2,0.029,13,6.9,3,4.1,0.39
Martín Pérez,2020,Core,265,47.7,5.5,0.031,8.5,7.3,2.6,-1.7,-0.51
Edward Cabrera,2024,Wide,566,43.1,10.9,0.008,3.2,10.1,2.2,1,-0.05
Tyler Wells,2022,Wide,303,50.6,14.4,-0.001,6.9,8.9,2.2,6.9,0
Edward Cabrera,2023,Wide,560,46,10.8,0.035,3.3,9.6,2.2,9.1,0.34
Martín Pérez,2021,Core,445,47.9,7.2,0.021,8.6,7.9,2.2,3.3,-0.52
Kyle Hendricks,2020,Wide,326,52.1,13.2,-0.096,7.7,4.6,2.1,8.8,1.84
Jordan Montgomery,2020,Wide,190,51.2,13.7,0.105,9.4,4.5,1.9,11.8,1.37
Yusei Kikuchi,2024,Core,325,44.1,3.8,-0.013,8.8,10.7,1.8,7,0.71
Griffin Jax,2022,Wide,156,42.9,14,-0.021,5.6,12.7,1.6,19.7,1.19
Jeffrey Springs,2022,Wide,729,47.4,12.3,-0.013,10.3,11.7,1.6,-1.8,0.43
Tanner Bibee,2024,Wide,512,52.4,12,0.07,12.2,7.9,1.4,-1,0.11
Patrick Corbin,2023,Wide,184,42.3,10.4,0.086,10.6,7.2,1.2,-8.8,-1.85
Aaron Ashby,2022,Wide,387,44.7,13.2,-0.082,6.4,11.3,1,8.8,-1.95
Reid Detmers,2024,Core,220,45.7,7.8,-0.063,9.1,9.1,0.7,5.9,-0.94
Griffin Jax,2021,Wide,198,43.2,7.1,0.013,5.3,7.3,0.6,1.4,-3.47
Reid Detmers,2026,Wide,203,43.6,14.3,-0.027,10.5,9.3,0.5,10.1,-0.73
Edward Cabrera,2022,Core,392,44.3,9.2,0.038,3.5,9.4,0.3,-0.4,1.43
Aaron Ashby,2025,Wide,122,48.4,11.7,-0.037,6.1,4.8,0.2,1.2,-0.77
Kyle Hendricks,2025,Wide,987,43.7,13.2,-0.109,7,6.4,-0.1,-5.4,0.64
Jhony Brito,2023,Wide,419,51.1,12.4,0.067,7,8.7,-0.4,-3.3,-0.11
Walbert Ureña,2026,Wide,496,44.2,12,0.037,7.3,9.3,-0.9,1.6,1.07
José Leclerc,2023,Core,130,46.5,6.7,0.034,6.8,8,-0.9,-24.5,-0.46
Jalen Beeks,2020,Wide,141,50.4,14.3,-0.076,5.1,10.6,-1,1.8,0.05
Luke Weaver,2020,Wide,264,51.8,13.3,-0.085,9.3,10.5,-1.1,-7.3,0.31
Kenny Rosenberg,2024,Wide,132,45.7,14.5,-0.034,9.1,9.7,-1.7,6,0.88
Robbie Ray,2026,Wide,354,43.8,7.1,-0.021,7.2,8.5,-1.7,-8.2,2.06
Kyle Hendricks,2024,Wide,827,43.6,13.9,-0.129,6.8,6.7,-1.9,1.3,-0.12
Jared Shuster,2024,Wide,379,42.1,10.4,0.04,8.4,7.1,-2.3,-9.4,-0.41
Martín Pérez,2023,Core,586,44.9,9.9,0.015,7.5,7.7,-2.3,-0.4,-0.77
Génesis Cabrera,2021,Wide,202,48.8,14.4,0.001,7.9,10,-2.6,3.7,2.12
Dallas Keuchel,2020,Wide,263,48.9,13.7,0.149,8.6,1.5,-3,19.6,2.82
JT Brubaker,2021,Wide,123,45.7,11.7,-0.03,5.7,9.4,-3.4,-3.4,-3.77
Andrew Abbott,2025,Wide,526,46,13,0,8,8.1,-3.5,-6.7,0.44
Kyle Hendricks,2021,Wide,768,47.1,13.7,-0.065,7.3,5.8,-3.6,-0.7,-0.74
Martín Pérez,2022,Wide,794,42.5,10.3,0.021,8.4,8.2,-3.6,3.6,-0.49
Tanner Gordon,2024,Wide,116,48.4,13.5,-0.021,8.2,5,-4,-0.8,-3.87
Kwang Hyun Kim,2021,Wide,210,57.3,11.5,0.087,8.7,5.2,-4.7,15.3,-0.98
Antonio Senzatela,2022,Wide,112,43.1,6.5,-0.15,7.4,4.6,-5.8,1.7,0.43
Dallas Keuchel,2023,Wide,178,45.3,11.3,0.053,7.1,2.3,-6.2,6,-1.52
Patrick Corbin,2022,Core,217,44.2,9.8,0.095,9.6,7.2,-6.3,2,-1.93
Tanner Banks,2023,Wide,166,49.7,10.3,-0.085,6.4,10.8,-6.8,1.4,0.39
Yusei Kikuchi,2023,Core,254,44.8,7,-0.078,6.4,10.7,-7.1,7.6,-2.11
Luke Weaver,2021,Wide,332,52,13.3,-0.096,8.3,9.2,-7.5,3.5,-2.55
Blake Snell,2020,Wide,167,51.7,14.4,0.057,7,9.4,-7.8,28.3,0.61
Cal Quantrill,2022,Wide,330,43.7,14.2,0.001,8.6,11.3,-8.1,2.3,0.82
J.A. Happ,2021,Wide,322,43.3,14.5,0.056,4.9,8.9,-8.1,-14,-1.12
Beau Sulser,2022,Wide,112,45.9,11.5,-0.042,9.1,11.5,-8.3,7.4,-2.59
Brett Anderson,2021,Elite,368,48.8,5.9,0.005,6.9,3.4,-8.3,8.1,1.91
Brett Anderson,2020,Core,180,45.5,6.5,0.015,7,3.3,-8.8,11.7,1.37
Adrian Houser,2021,Wide,257,43.2,12.5,-0.048,6.4,9.7,-9.2,2.5,-1.45
Luke Weaver,2022,Wide,182,42.5,13,-0.136,8,12.5,-9.5,-1.4,-0.56
Tanner Banks,2022,Wide,180,49.7,8.4,-0.118,7.9,11.7,-10.4,6.6,-0.05
Jared Jones,2024,Core,119,44.2,9.6,-0.064,7.5,14.1,-10.4,-3,-3.48
Matt Harvey,2021,Wide,265,44.2,11.2,0,8,5.4,-11,5.6,1.93
Tanner Banks,2024,Core,147,49.9,9.9,-0.036,7.3,10.9,-14.7,7.2,-2.94
