train,test,n_test,arm,axis,as_fb,as_ch
4.17830242517395,0.832855539788193,16,35,8,0.85,0.85
3.00193607364013,3.11417498412247,7,40,10,0.85,0.91
1.74884408450825,-0.127061660019004,14,37.5,12,0.95,0.85
4.31469760037246,-2.23887446256926,6,50,16,0.85,0.87
2.50208760260644,0.0775386456764812,25,40,12,0.85,0.85
2.80641995845194,4.14244106627755,6,35,8,0.85,0.91
4.72757089346053,0.178611684105325,14,40,12,0.91,0.91
3.90200906226652,0.0927541772481259,12,37.5,10,0.91,0.87
3.25627754749295,0.848899688960226,19,25,8,0.89,0.89
3.95514987640092,-2.03097762200555,15,47.5,16,0.85,0.85
3.10574362869129,-2.5144816041794,11,52.5,20,0.85,0.85
1.87605631216714,1.88995627156865,7,35,10,0.93,0.89
3.31861733263215,-0.272402637020698,6,42.5,10,0.85,0.85
1.95799608891441,2.09671437431073,18,30,8,0.85,0.87
3.22135832793473,1.15468716391853,4,32.5,8,0.91,0.91
3.82849487571269,1.18311931212658,17,35,8,0.85,0.85
3.28529773130779,-1.50444083503207,13,40,12,0.91,0.85
2.99201219302782,1.65572855706198,15,35,10,0.85,0.91
4.72942509328529,0.191360226185556,26,25,8,0.87,0.85
3.75411120490153,-2.17421426503855,6,55,20,0.85,0.85
3.58652802527965,0.757077931395231,14,40,10,0.85,0.85
3.78762392080964,1.45359278889537,14,35,8,0.85,0.87
4.5346322762391,0.246032966955578,20,25,8,0.85,0.89
4.87162268333844,0.172239215395912,7,35,8,0.91,0.89
2.99833518246764,1.11907237762468,11,35,8,0.85,0.85
4.00656056572705,1.17895589790279,12,37.5,10,0.85,0.91
4.41647623008292,-1.57662775689751,14,42.5,12,0.91,0.85
4.15740459846993,-1.04237360351613,8,40,10,0.91,0.85
3.56878745464503,2.20503084147024,10,35,8,0.85,0.89
3.81787047511184,0.669530190075944,14,25,8,0.89,0.91
3.62853441329261,0.285752770824097,7,25,6,0.85,0.85
4.51184759007589,-0.0286582069736928,11,35,8,0.91,0.85
2.69098178541787,0.929243187570878,20,37.5,12,0.93,0.85
5.71554447669869,-0.74471651995513,20,40,12,0.85,0.91
4.05352448564984,0.872818328884285,8,37.5,8,0.85,0.85
4.00354173736148,0.316602531276549,13,40,12,0.91,0.91
4.1689171487138,0.0459108184606862,5,25,6,0.87,0.85
2.89847983496828,1.04197843211261,20,30,10,0.85,0.91
3.15173289111238,-0.167040577981954,8,40,12,0.93,0.85
2.99478560064869,3.01033862480892,8,40,10,0.85,0.91
3.96218932219019,1.19176640553365,12,37.5,10,0.85,0.91
3.04958780485704,1.01231663265358,7,25,6,0.85,0.85
3.36628540730287,0.931177759882995,8,35,10,0.91,0.91
3.53736649982412,2.16781504851398,8,40,10,0.85,0.91
4.76332301763473,0.335303146713334,12,40,10,0.85,0.87
3.59103163110218,0.754220155226284,23,25,8,0.89,0.87
3.22810975217896,2.46029200614144,9,35,8,0.85,0.89
2.45985394968638,5.87529338212617,4,30,6,0.85,0.85
2.52549168138641,0.454894667409405,31,32.5,12,0.89,0.89
3.88518532444333,0.495275849243163,11,35,8,0.91,0.85
4.48570991122414,-0.45894338676817,10,35,8,0.91,0.85
3.39643243140239,0.836984943802038,21,30,10,0.85,0.91
2.81000811712445,1.71567130780738,16,35,8,0.85,0.85
3.58926120069777,-0.538841177377795,17,30,10,0.93,0.87
2.85685673563844,1.29038363559689,14,40,10,0.85,0.85
4.29126342021257,-0.753915065287906,11,40,12,0.91,0.91
4.16985900051499,0.615851506173591,10,35,10,0.91,0.91
2.9009341470766,-0.123419730527284,6,55,22,0.93,0.85
3.02582248328658,1.28752627009164,25,25,8,0.89,0.87
2.86455316585154,4.17795968123029,6,35,8,0.85,0.91
2.50109303693045,1.90294266391856,7,25,6,0.85,0.85
3.97182736418197,1.08901760649541,9,35,8,0.91,0.87
3.49146329774537,0.92078429237467,22,32.5,10,0.85,0.89
3.38950271607184,0.863935909039026,14,40,12,0.93,0.85
3.16086856705231,2.97455251329949,7,40,8,0.85,0.85
4.9790224205904,-0.54513806853504,7,40,10,0.91,0.87
5.02536893781786,-2.7798075866192,9,40,12,0.91,0.91
3.93707913501004,0.956985791604973,16,35,8,0.85,0.85
3.99050419331245,0.372263586261559,14,40,10,0.85,0.85
4.30275383305528,0.720948960521669,29,25,8,0.87,0.85
2.16643046470752,1.82818433423908,13,40,12,0.93,0.85
3.03720300201097,2.7366152941043,10,35,8,0.85,0.89
3.8817580757535,1.22648989739743,17,35,8,0.85,0.85
5.00626877538296,-1.16253665512284,17,35,12,0.93,0.91
2.76616398480379,1.35704425935175,13,40,12,0.91,0.91
5.37900404722583,-0.489129253911988,14,40,12,0.91,0.91
3.85026291452264,-0.104650704879429,7,25,6,0.85,0.85
3.09195688543937,-2.18714178647437,9,52.5,26,0.93,0.95
3.605480484195,1.59794112292945,15,35,8,0.85,0.87
3.56798457066425,-1.2998340411362,8,50,16,0.85,0.85
2.97128116459544,1.94916546035934,11,37.5,10,0.85,0.91
3.38863854489376,-1.29435854389324,16,52.5,26,0.85,0.95
3.37568691688277,-0.732524738441352,6,50,16,0.85,0.87
2.22176933826305,0.483630897291762,10,42.5,12,0.93,0.85
4.18234100106069,-0.196301623268302,6,40,10,0.91,0.87
4.37892856753481,0.253489013856333,6,35,8,0.91,0.89
3.01117646365912,1.0199389399501,24,37.5,12,0.89,0.91
3.51789754597248,0.261322675686444,19,37.5,10,0.85,0.85
