Pitcher,Season,Tier,Pitches,Arm,AxisGap,SpinEffGap,VeloSep,IVBKill,Whiff,Grounders,RV100
Beau Sulser,2022,Wide,112,45.9,11.5,-0.042,9.1,11.5,-7.4,6.6,-2.57
Blake Snell,2020,Wide,167,51.7,14.4,0.057,7,9.4,-7.9,27.7,0.51
Luke Weaver,2021,Wide,332,52,13.3,-0.096,8.3,9.2,-7.9,3.7,-2.48
Cal Quantrill,2022,Wide,330,43.7,14.2,0.001,8.6,11.3,-8,2.3,0.78
J.A. Happ,2021,Wide,322,43.3,14.5,0.056,4.9,8.9,-8.5,-13.4,-1.02
Adrian Houser,2021,Wide,257,43.2,12.5,-0.048,6.4,9.7,-8.6,3.5,-1.45
Luke Weaver,2022,Wide,182,42.5,13,-0.136,8,12.5,-9.4,-1.2,-0.49
Tanner Banks,2022,Wide,180,49.7,8.4,-0.118,7.9,11.7,-10.6,7.5,-0.1
Matt Harvey,2021,Wide,265,44.2,11.2,0,8,5.4,-10.7,6.6,2
Jared Jones,2024,Core,119,44.2,9.6,-0.064,7.5,14.1,-11.1,-4.1,-3.36
Tanner Banks,2024,Core,147,49.9,9.9,-0.036,7.3,10.9,-14.1,7.5,-3.04
